index,Condo Name,Address,GPR,simp_gpr
120,AXIS @ SIGLAP,"AXIS @ SIGLAP, Singapore",1.4,1.4
121,AZALEA PARK CONDOMINIUM,"AZALEA PARK CONDOMINIUM, Singapore",2.8,2.8
122,BAGNALL COURT,"BAGNALL COURT, Singapore",2.8,2.8
123,BALCON EAST,"BALCON EAST, Singapore",1.4,1.4
126,BALESTIER PLAZA,"BALESTIER PLAZA, Singapore",2.8,2.8
127,BALESTIER POINT,"BALESTIER POINT, Singapore",1.6,1.6
128,BALESTIER REGENCY,"BALESTIER REGENCY, Singapore",1.4,1.4
129,BALLOTA PARK CONDOMINIUM,"BALLOTA PARK CONDOMINIUM, Singapore",2.8,2.8
130,BALMORAL 8,"BALMORAL 8, Singapore",1.4,1.4
132,BALMORAL CREST,"BALMORAL CREST, Singapore",1.4,1.4
133,BALMORAL GATE,"BALMORAL GATE, Singapore",1.4,1.4
135,BALMORAL HEIGHTS,"BALMORAL HEIGHTS, Singapore",1.4,1.4
136,BALMORAL HILLS,"BALMORAL HILLS, Singapore",3,3
137,BALMORAL LUCK,"BALMORAL LUCK, Singapore",2.8,2.8
138,BALMORAL PLACE,"BALMORAL PLACE, Singapore",3,3
139,BALMORAL POINT,"BALMORAL POINT, Singapore",3,3
140,BALMORAL RESIDENCES,"BALMORAL RESIDENCES, Singapore",2.8,2.8
141,BALMORAL TOWER,"BALMORAL TOWER, Singapore",1.4,1.4
143,BANYAN CONDOMINIUM,"BANYAN CONDOMINIUM, Singapore",1.6,1.6
145,BARTLEY RESIDENCES,"BARTLEY RESIDENCES, Singapore",1.6,1.6
146,BARTLEY RIDGE,"BARTLEY RIDGE, Singapore",1.6,1.6
147,BARTLEY VUE,"BARTLEY VUE, Singapore",2.1,2.1
148,BASSEIN COURT,"BASSEIN COURT, Singapore",1.6,1.6
150,BAYOU RESIDENCE,"BAYOU RESIDENCE, Singapore",1.6,1.6
151,BAYSHORE PARK,"BAYSHORE PARK, Singapore",1.6,1.6
152,BAYVILLE CONDOMINIUM,"BAYVILLE CONDOMINIUM, Singapore",1.6,1.6
153,BAYWATER,"BAYWATER, Singapore",2.1,2.1
154,BEACON HEIGHTS,"BEACON HEIGHTS, Singapore",1.6,1.6
156,BEAUFORT ON NASSIM,"BEAUFORT ON NASSIM, Singapore",2.1,2.1
157,BEAVERTON COURT,"BEAVERTON COURT, Singapore",2.8,2.8
158,BEDOK COURT,"BEDOK COURT, Singapore",1.4,1.4
160,BELLA CASITA,"BELLA CASITA, Singapore",2.8,2.8
162,BELLE VUE RESIDENCES,"BELLE VUE RESIDENCES, Singapore",2.8,2.8
163,BELLERIVE,"BELLERIVE, Singapore",3.5,3
164,BELLEWATERS,"BELLEWATERS, Singapore",2.8,2.8
165,BELLEWOODS,"BELLEWOODS, Singapore",1.4,1.4
167,BELMOND GREEN,"BELMOND GREEN, Singapore",2.8,2.8
168,BELMONDO VIEW,"BELMONDO VIEW, Singapore",1.4,1.4
169,BELYSA,"BELYSA, Singapore",2.5,2.1
171,BERKELEY RESIDENCES,"BERKELEY RESIDENCES, Singapore",2.8,2.8
172,BEVERLY HILL,"BEVERLY HILL, Singapore",1.4,1.4
173,BIJOU,"BIJOU, Singapore",2.1,2.1
174,BIRCHWOOD MANSIONS,"BIRCHWOOD MANSIONS, Singapore",3.5,3
175,BIRMINGHAM MANSIONS,"BIRMINGHAM MANSIONS, Singapore",2.8,2.8
176,BISHAN 8,"BISHAN 8, Singapore",1.4,1.4
177,BISHAN LOFT,"BISHAN LOFT, Singapore",1.4,1.4
178,BISHAN POINT,"BISHAN POINT, Singapore",2.1,2.1
179,BISHOPSGATE RESIDENCES,"BISHOPSGATE RESIDENCES, Singapore",3,3
180,BLEU @ EAST COAST,"BLEU @ EAST COAST, Singapore",2.8,2.8
181,BLISS LOFT,"BLISS LOFT, Singapore",1.4,1.4
183,BLISS RESIDENCES,"BLISS RESIDENCES, Singapore",1.6,1.6
185,BLOSSOM RESIDENCES,"BLOSSOM RESIDENCES, Singapore",2.8,2.8
186,BLOSSOM VIEW,"BLOSSOM VIEW, Singapore",2.1,2.1
187,BLOSSOMS @ WOODLEIGH,"BLOSSOMS @ WOODLEIGH, Singapore",1.4,1.4
188,BLU CORAL,"BLU CORAL, Singapore",1.4,1.4
189,BLUE HORIZON,"BLUE HORIZON, Singapore",2.1,2.1
190,BLUWATERS 2,"BLUWATERS 2, Singapore",3,3
191,BOATHOUSE RESIDENCES,"BOATHOUSE RESIDENCES, Singapore",2.8,2.8
192,BOON COURT,"BOON COURT, Singapore",1.6,1.6
193,BOON TECK APARTMENTS,"BOON TECK APARTMENTS, Singapore",1.4,1.4
194,BOON TECK LODGE,"BOON TECK LODGE, Singapore",2.8,2.8
195,BOON TECK TOWER,"BOON TECK TOWER, Singapore",2.8,2.8
196,BOONVIEW,"BOONVIEW, Singapore",3,3
197,BOTANIC GARDENS MANSION,"BOTANIC GARDENS MANSION, Singapore",2.8,2.8
198,BOTANIC GARDENS VIEW,"BOTANIC GARDENS VIEW, Singapore",2.8,2.8
199,BOTANIKA,"BOTANIKA, Singapore",1.4,1.4
201,BOTANNIA,"BOTANNIA, Singapore",3.5,3
202,BOUGAINVILLA APARTMENTS,"BOUGAINVILLA APARTMENTS, Singapore",1.4,1.4
203,BOULEVARD VUE,"BOULEVARD VUE, Singapore",2.8,2.8
205,BRADDELL PARK,"BRADDELL PARK, Singapore",2.8,2.8
208,BRIGHTON VIEW,"BRIGHTON VIEW, Singapore",2.1,2.1
211,BUCKLEY 18,"BUCKLEY 18, Singapore",1.4,1.4
212,BUCKLEY RESIDENCE,"BUCKLEY RESIDENCE, Singapore",1.4,1.4
213,BUKIT REGENCY,"BUKIT REGENCY, Singapore",2.8,2.8
215,BULLION PARK,"BULLION PARK, Singapore",2.8,2.8
216,BUONA LODGE,"BUONA LODGE, Singapore",2.8,2.8
219,BUTTERWORTH VIEW,"BUTTERWORTH VIEW, Singapore",1.4,1.4
221,CAIRNHILL ASTORIA,"CAIRNHILL ASTORIA, Singapore",1.4,1.4
222,CAIRNHILL CREST,"CAIRNHILL CREST, Singapore",1.4,1.4
224,CAIRNHILL PLAZA,"CAIRNHILL PLAZA, Singapore",2.1,2.1
225,CAIRNHILL RESIDENCES,"CAIRNHILL RESIDENCES, Singapore",1.4,1.4
226,CALARASI,"CALARASI, Singapore",1.4,1.4
227,CALIN MANSIONS,"CALIN MANSIONS, Singapore",2.8,2.8
228,CALLIDORA VILLE,"CALLIDORA VILLE, Singapore",2.8,2.8
229,CAMBIO SUITES,"CAMBIO SUITES, Singapore",1.4,1.4
235,CANBERRA RESIDENCES,"CANBERRA RESIDENCES, Singapore",2.8,2.8
236,CANDEVILLE,"CANDEVILLE, Singapore",2.8,2.8
241,CAPE ROYALE,"CAPE ROYALE, Singapore",2.8,2.8
242,CARABELLE,"CARABELLE, Singapore",2.8,2.8
243,CARDIFF RESIDENCE,"CARDIFF RESIDENCE, Singapore",2.8,2.8
244,CARIBBEAN AT KEPPEL BAY,"CARIBBEAN AT KEPPEL BAY, Singapore",2.8,2.8
245,CARISSA PARK CONDOMINIUM,"CARISSA PARK CONDOMINIUM, Singapore",2.8,2.8
249,CARMI MANSIONS,"CARMI MANSIONS, Singapore",1.4,1.4
251,CASA AERATA,"CASA AERATA, Singapore",1.4,1.4
252,CASA AL MARE,"CASA AL MARE, Singapore",2.8,2.8
254,CASA CAIRNHILL,"CASA CAIRNHILL, Singapore",3,3
255,CASA CAMBIO,"CASA CAMBIO, Singapore",1.4,1.4
257,CASA EMERALD,"CASA EMERALD, Singapore",2.8,2.8
258,CASA ESPANIA,"CASA ESPANIA, Singapore",2.8,2.8
259,CASA ESPERANZA,"CASA ESPERANZA, Singapore",1.4,1.4
263,CASA FORTUNA,"CASA FORTUNA, Singapore",1.4,1.4
264,CASA IRRAWADDY,"CASA IRRAWADDY, Singapore",1.4,1.4
265,CASA JERVOIS,"CASA JERVOIS, Singapore",1.4,1.4
266,CASA MELWANI,"CASA MELWANI, Singapore",1.4,1.4
268,CASA MEYA,"CASA MEYA, Singapore",1.4,1.4
269,CASA NOVACREST,"CASA NOVACREST, Singapore",1.4,1.4
270,CASA PASIR RIS,"CASA PASIR RIS, Singapore",1.4,1.4
272,CASA ROSA,"CASA ROSA, Singapore",1.4,1.4
273,CASA SARINA,"CASA SARINA, Singapore",2.8,2.8
276,CASABLANCA,"CASABLANCA, Singapore",1.4,1.4
277,CASAFINA,"CASAFINA, Singapore",1.4,1.4
278,CASCADALE,"CASCADALE, Singapore",2.8,2.8
279,CASCATA,"CASCATA, Singapore",1.4,1.4
281,CASHEW PARK CONDOMINIUM,"CASHEW PARK CONDOMINIUM, Singapore",1.4,1.4
282,CASPIAN,"CASPIAN, Singapore",2.07,2.1
283,CASSIA EDGE,"CASSIA EDGE, Singapore",1.4,1.4
285,CASTLE GREEN,"CASTLE GREEN, Singapore",2.8,2.8
286,CASTLE LOFT,"CASTLE LOFT, Singapore",2.8,2.8
288,CAVENAGH COURT,"CAVENAGH COURT, Singapore",1.4,1.4
289,CAVENAGH GARDENS,"CAVENAGH GARDENS, Singapore",2.8,2.8
290,CAVENAGH HOUSE,"CAVENAGH HOUSE, Singapore",2.1,2.1
291,CAVENAGH LODGE,"CAVENAGH LODGE, Singapore",1.4,1.4
292,CAVENDISH PARK,"CAVENDISH PARK, Singapore",1.4,1.4
295,CENTRA HEIGHTS,"CENTRA HEIGHTS, Singapore",1.4,1.4
300,CENTRAL GREEN CONDOMINIUM,"CENTRAL GREEN CONDOMINIUM, Singapore",1.4,1.4
301,CENTRAL GROVE,"CENTRAL GROVE, Singapore",1.4,1.4
302,CENTRAL IMPERIAL,"CENTRAL IMPERIAL, Singapore",1.4,1.4
303,CENTRAL MEADOWS,"CENTRAL MEADOWS, Singapore",3.5,3
304,CENTRAL VIEW,"CENTRAL VIEW, Singapore",2.8,2.8
311,CHANCERY ESQUIRE,"CHANCERY ESQUIRE, Singapore",2.1,2.1
312,CHANCERY PARK,"CHANCERY PARK, Singapore",1.4,1.4
313,CHANGI COURT,"CHANGI COURT, Singapore",2.1,2.1
315,CHANGI GREEN,"CHANGI GREEN, Singapore",2.1,2.1
316,CHANTILLY RISE,"CHANTILLY RISE, Singapore",2.1,2.1
319,CHARISMA VIEW,"CHARISMA VIEW, Singapore",2.1,2.1
320,CHARLESTON,"CHARLESTON, Singapore",1.4,1.4
321,CHARLTON CORNER,"CHARLTON CORNER, Singapore",1.4,1.4
322,CHARMING GARDEN,"CHARMING GARDEN, Singapore",2.8,2.8
323,CHATEAU LE FAME,"CHATEAU LE FAME, Singapore",2.8,2.8
324,CHELSEA GARDENS,"CHELSEA GARDENS, Singapore",2.8,2.8
326,CHEN FANG MANSIONS,"CHEN FANG MANSIONS, Singapore",2.8,2.8
327,CHERRY GARDENS,"CHERRY GARDENS, Singapore",2.8,2.8
329,CHESTERVALE,"CHESTERVALE, Singapore",2.5,2.1
330,CHESTNUT-VILLE,"CHESTNUT-VILLE, Singapore",3,3
332,CHIVERTON,"CHIVERTON, Singapore",2.8,2.8
334,CHOON KIM HOUSE,"CHOON KIM HOUSE, Singapore",2.8,2.8
335,CHOON MOEY MANSIONS,"CHOON MOEY MANSIONS, Singapore",2.8,2.8
338,CHUAN PARK,"CHUAN PARK, Singapore",1.4,1.4
342,CITY EDGE,"CITY EDGE, Singapore",2.8,2.8
344,CITY LOFT,"CITY LOFT, Singapore",4.9,3
345,CITY REGENCY,"CITY REGENCY, Singapore",1.4,1.4
346,CITY SQUARE RESIDENCES,"CITY SQUARE RESIDENCES, Singapore",1.4,1.4
347,CITY SUITES,"CITY SUITES, Singapore",1.4,1.4
349,CITYLIFE@TAMPINES,"CITYLIFE@TAMPINES, Singapore",1.6,1.6
352,CITYVISTA RESIDENCES,"CITYVISTA RESIDENCES, Singapore",1.6,1.6
353,CLAREMONT,"CLAREMONT, Singapore",1.4,1.4
354,CLEMENTI PARK,"CLEMENTI PARK, Singapore",1.99,2.1
357,CLIVEDEN AT GRANGE,"CLIVEDEN AT GRANGE, Singapore",1.6,1.6
358,CLOVER PARK,"CLOVER PARK, Singapore",3,3
359,CLUNY PARK RESIDENCE,"CLUNY PARK RESIDENCE, Singapore",2.8,2.8
360,CLYDES RESIDENCE,"CLYDES RESIDENCE, Singapore",1.4,1.4
361,COASTAL BREEZE RESIDENCES,"COASTAL BREEZE RESIDENCES, Singapore",1.4,1.4
362,COASTAL VIEW RESIDENCES,"COASTAL VIEW RESIDENCES, Singapore",2.8,2.8
364,COCO PALMS,"COCO PALMS, Singapore",2.1,2.1
365,COMMONWEALTH TOWERS,"COMMONWEALTH TOWERS, Singapore",3,3
366,COMPASS HEIGHTS,"COMPASS HEIGHTS, Singapore",2.8,2.8
370,CORONATION ARCADE,"CORONATION ARCADE, Singapore",2.1,2.1
372,CORONATION SHOPPING PLAZA,"CORONATION SHOPPING PLAZA, Singapore",1.4,1.4
373,COSMO,"COSMO, Singapore",2.8,2.8
378,COTE D'AZUR,"COTE D'AZUR, Singapore",3,3
379,COUNTRY ESQUIRE,"COUNTRY ESQUIRE, Singapore",2.8,2.8
381,COUNTRY PARK CONDO,"COUNTRY PARK CONDO, Singapore",2.8,2.8
382,COUNTRY PARK CONDOMINIUM,"COUNTRY PARK CONDOMINIUM, Singapore",2.8,2.8
383,CRADELS,"CRADELS, Singapore",2.8,2.8
384,CRAIG PLACE,"CRAIG PLACE, Singapore",2.8,2.8
385,CRANE COURT,"CRANE COURT, Singapore",2.8,2.8
386,CRESCENDO BUILDING,"CRESCENDO BUILDING, Singapore",1.6,1.6
387,CRESCENDO PARK,"CRESCENDO PARK, Singapore",1.4,1.4
388,CROWN CENTRE,"CROWN CENTRE, Singapore",2.1,2.1
391,CRYSTAL DEW,"CRYSTAL DEW, Singapore",1.4,1.4
392,CRYSTAL HEIGHTS,"CRYSTAL HEIGHTS, Singapore",3,3
395,CUBE 8,"CUBE 8, Singapore",1.4,1.4
397,CYAN,"CYAN, Singapore",1.4,1.4
398,D - HERITAGE APARTMENTS,"D - HERITAGE APARTMENTS, Singapore",2.1,2.1
399,D' PALMA,"D' PALMA, Singapore",4.2,3
402,D'HIRO @ HILLSIDE,"D'HIRO @ HILLSIDE, Singapore",3,3
403,D'LEEDON,"D'LEEDON, Singapore",3,3
404,D'LOTUS,"D'LOTUS, Singapore",2.8,2.8
405,D'MIRA,"D'MIRA, Singapore",3.5,3
406,D'NEST,"D'NEST, Singapore",1.4,1.4
407,D'OASIA,"D'OASIA, Singapore",2.8,2.8
408,D'PAVILION,"D'PAVILION, Singapore",2.1,2.1
409,D'SUNRISE,"D'SUNRISE, Singapore",2.1,2.1
410,D'WEAVE,"D'WEAVE, Singapore",1.4,1.4
412,DAHLIA PARK CONDOMINIUM,"DAHLIA PARK CONDOMINIUM, Singapore",1.4,1.4
413,DAISY LODGE,"DAISY LODGE, Singapore",2.8,2.8
414,DAISY SUITES,"DAISY SUITES, Singapore",1.4,1.4
415,DAKOTA RESIDENCES,"DAKOTA RESIDENCES, Singapore",3,3
416,DALVEY COURT,"DALVEY COURT, Singapore",1.4,1.4
417,DARBY PARK,"DARBY PARK, Singapore",3,3
419,DE LENTE,"DE LENTE, Singapore",1.4,1.4
420,DE PARADISO,"DE PARADISO, Singapore",2.8,2.8
421,DE ROYALE,"DE ROYALE, Singapore",1.4,1.4
422,DELIGHT COURT,"DELIGHT COURT, Singapore",2.8,2.8
423,DENG FU VILLE,"DENG FU VILLE, Singapore",2.8,2.8
424,DERBYSHIRE HEIGHTS,"DERBYSHIRE HEIGHTS, Singapore",2.8,2.8
427,DLV,"DLV, Singapore",2.1,2.1
428,DOMAIN 21,"DOMAIN 21, Singapore",1.6,1.6
429,DOMUS,"DOMUS, Singapore",1.4,1.4
432,DORSET MANSIONS,"DORSET MANSIONS, Singapore",1.4,1.4
433,DORSETT RESIDENCES,"DORSETT RESIDENCES, Singapore",1.4,1.4
434,DOVER PARKVIEW,"DOVER PARKVIEW, Singapore",1.4,1.4
435,DRAYCOTT DRIVE,"DRAYCOTT DRIVE, Singapore",2.8,2.8
436,DRAYCOTT PARK,"DRAYCOTT PARK, Singapore",2.8,2.8
438,DUCHESS MANOR,"DUCHESS MANOR, Singapore",2.8,2.8
439,DUCHESS RESIDENCES,"DUCHESS RESIDENCES, Singapore",2.1,2.1
441,DUCHESS ROYALE,"DUCHESS ROYALE, Singapore",1.4,1.4
443,DUET,"DUET, Singapore",1.4,1.4
448,DUNEARN LODGE,"DUNEARN LODGE, Singapore",1.4,1.4
449,DUNEARN SUITES,"DUNEARN SUITES, Singapore",2.8,2.8
450,DUNMAN PLACE,"DUNMAN PLACE, Singapore",1.4,1.4
452,DUNMAN VIEW,"DUNMAN VIEW, Singapore",1.4,1.4
453,DYNASTY LODGE,"DYNASTY LODGE, Singapore",1.4,1.4
455,E-SPACE,"E-SPACE, Singapore",1.4,1.4
458,EAST BAY GARDENS,"EAST BAY GARDENS, Singapore",3.5,3
465,EAST MEADOWS,"EAST MEADOWS, Singapore",1.6,1.6
467,EAST PALM,"EAST PALM, Singapore",1.6,1.6
468,EAST SHINE,"EAST SHINE, Singapore",2.8,2.8
469,EAST TREASURE,"EAST TREASURE, Singapore",1.4,1.4
470,EAST VIEW,"EAST VIEW, Singapore",2.8,2.8
471,EAST VIEW 18,"EAST VIEW 18, Singapore",2.8,2.8
472,EAST VILLAGE,"EAST VILLAGE, Singapore",2.8,2.8
475,EASTERN LAGOON,"EASTERN LAGOON, Singapore",1.4,1.4
477,EASTPAC BUILDING,"EASTPAC BUILDING, Singapore",2.8,2.8
478,EASTPOINT GREEN,"EASTPOINT GREEN, Singapore",2.8,2.8
484,EASTWOOD LODGE,"EASTWOOD LODGE, Singapore",2.1,2.1
485,EASTWOOD REGENCY,"EASTWOOD REGENCY, Singapore",2.8,2.8
486,EBER GARDENS,"EBER GARDENS, Singapore",1.4,1.4
488,ECHELON,"ECHELON, Singapore",1.4,1.4
489,ECO,"ECO, Singapore",3.5,3
491,ECOPOLITAN,"ECOPOLITAN, Singapore",2.1,2.1
493,EDELWEISS PARK CONDOMINIUM,"EDELWEISS PARK CONDOMINIUM, Singapore",1.4,1.4
494,EDEN CREST,"EDEN CREST, Singapore",1.4,1.4
496,EDEN VIEW,"EDEN VIEW, Singapore",1.4,1.4
498,EDENZ SUITES,"EDENZ SUITES, Singapore",1.6,1.6
499,EIGHT COURTYARDS,"EIGHT COURTYARDS, Singapore",1.4,1.4
502,ELIAS GREEN,"ELIAS GREEN, Singapore",1.4,1.4
503,ELIZABETH HEIGHTS,"ELIZABETH HEIGHTS, Singapore",1.4,1.4
506,EMERALD APARTMENTS,"EMERALD APARTMENTS, Singapore",1.4,1.4
507,EMERALD PARK,"EMERALD PARK, Singapore",1.4,1.4
508,EMERY POINT,"EMERY POINT, Singapore",2.8,2.8
511,ENG AUN MANSION,"ENG AUN MANSION, Singapore",1.4,1.4
515,EQUATORIAL APARTMENTS,"EQUATORIAL APARTMENTS, Singapore",2.8,2.8
517,ESPA,"ESPA, Singapore",1.4,1.4
518,ESPADA,"ESPADA, Singapore",1.4,1.4
519,ESPANA,"ESPANA, Singapore",2.8,2.8
522,ESPIRA SPRING,"ESPIRA SPRING, Singapore",1.4,1.4
523,ESTA RUBY,"ESTA RUBY, Singapore",2.8,2.8
524,ESTELLA GARDENS,"ESTELLA GARDENS, Singapore",1.4,1.4
527,ESTIQUE,"ESTIQUE, Singapore",2.8,2.8
529,EUHABITAT,"EUHABITAT, Singapore",1.4,1.4
530,EUNOS GREEN,"EUNOS GREEN, Singapore",1.4,1.4
531,EUNOS PARK,"EUNOS PARK, Singapore",1.4,1.4
533,EURO-ASIA COURT,"EURO-ASIA COURT, Singapore",1.4,1.4
535,EVANIA,"EVANIA, Singapore",1.4,1.4
536,EVELYN MANSIONS,"EVELYN MANSIONS, Singapore",1.4,1.4
538,EVERGREEN PARK,"EVERGREEN PARK, Singapore",1.4,1.4
539,EVERGREEN RESIDENCES,"EVERGREEN RESIDENCES, Singapore",1.4,1.4
541,EVERITT EDGE,"EVERITT EDGE, Singapore",3,3
543,EWE BOON REGENT,"EWE BOON REGENT, Singapore",1.4,1.4
545,FABER GARDEN CONDOMINIUM,"FABER GARDEN CONDOMINIUM, Singapore",2.3,2.1
546,FAIRLODGE,"FAIRLODGE, Singapore",1.4,1.4
549,FAR HORIZON GARDENS,"FAR HORIZON GARDENS, Singapore",1.4,1.4
550,FARRER PARK SUITES,"FARRER PARK SUITES, Singapore",2.1,2.1
551,FENARA COURT,"FENARA COURT, Singapore",1.4,1.4
553,FERNHILL COTTAGE,"FERNHILL COTTAGE, Singapore",1.4,1.4
556,FERNWOOD TOWERS,"FERNWOOD TOWERS, Singapore",4.9,3
557,FERRA,"FERRA, Singapore",2.1,2.1
559,FERRELL RESIDENCES,"FERRELL RESIDENCES, Singapore",2.1,2.1
560,FIFTEEN ROBIN,"FIFTEEN ROBIN, Singapore",3,3
561,FIFTH AVENUE CONDOMINIUM,"FIFTH AVENUE CONDOMINIUM, Singapore",2.8,2.8
562,FIFTY-TWO STEVENS,"FIFTY-TWO STEVENS, Singapore",1.4,1.4
563,FINLAND GARDENS,"FINLAND GARDENS, Singapore",1.4,1.4
564,FIORENZA,"FIORENZA, Singapore",2.8,2.8
566,FLAME TREE PARK,"FLAME TREE PARK, Singapore",2.8,2.8
567,FLAMINGO VALLEY,"FLAMINGO VALLEY, Singapore",1.4,1.4
568,FLO RESIDENCE,"FLO RESIDENCE, Singapore",1.4,1.4
569,FLORA EAST,"FLORA EAST, Singapore",2.8,2.8
572,FLORIDIAN,"FLORIDIAN, Singapore",2.8,2.8
573,FONTAINE PARRY,"FONTAINE PARRY, Singapore",1.4,1.4
575,FORESQUE RESIDENCES,"FORESQUE RESIDENCES, Singapore",2,2.1
576,FOREST HILLS CONDOMINIUM,"FOREST HILLS CONDOMINIUM, Singapore",2.8,2.8
577,FOREST WOODS,"FOREST WOODS, Singapore",1.4,1.4
578,FORESTVILLE,"FORESTVILLE, Singapore",2.8,2.8
580,FORTE SUITES,"FORTE SUITES, Singapore",3,3
582,FORTUNE PARK,"FORTUNE PARK, Singapore",1.4,1.4
585,FOUR SEASONS PARK,"FOUR SEASONS PARK, Singapore",2.1,2.1
586,FRAGRANCE COURT,"FRAGRANCE COURT, Singapore",2.1,2.1
588,FRASER SUITES,"FRASER SUITES, Singapore",2.8,2.8
590,FRUITION,"FRUITION, Singapore",3,3
