Condo Name,Address
BUONA LODGE,"1 Zehnder Road, 117686"
BUONA VISTA GARDENS,"2 Zehnder Road, 117687"
BURLINGTON SQUARE,"175 Bencoolen Street, 189649"
BUTTERWORTH 33,"33 Butterworth Lane, 439442"
BUTTERWORTH VIEW,"21 Butterworth Lane, 439431"
CADENCE LIGHT,"199 Telok Kurau Road, 423833"
CAI GARDENS,"3 Foo Kim Lin Road, 419679"
CAI YUAN MANSIONS,"36 Jalan Datoh, 329422"
CAIRNHILL ASTORIA,"6 Cairnhill Rise, 229741"
CAIRNHILL CREST,"2 Cairnhill Circle, 229811"
CAIRNHILL GARDEN,"100 Anthony Road, 229952"
CAIRNHILL HEIGHTS,"16 Cairnhill Rise, 229744"
CAIRNHILL MANSIONS,"69 Cairnhill Road, 229675"
CAIRNHILL PLAZA,"53 Cairnhill Road, 229664"
CAIRNHILL RESIDENCES,"31 Cairnhill Circle, 229774"
CALARASI,"31 Kim Keat Lane, 328882"
CALIN MANSIONS,"30 Lorong 33 Geylang, 387987"
CALISAY,"391 Upper Paya Lebar Road, 534981"
CALLIDORA VILLE,"19 Lorong N Telok Kurau, 425145"
CALROSE GARDEN,"501 Yio Chu Kang Road, 787061"
CAMBIO SUITES,"28 Lim Tua Tow Road, 547791"
CAMELLIA LODGE,"31 Lorong 31 Geylang, 38803"
CAMELODGE,"112 Upper East Coast Road, 455006"
CAMELOT BY-THE-WATER,"110 Tanjong Rhu Road, 436928"
CANARY VILLE,"138 Lorong J Telok Kurau, 423484"
CANBERLIN APARTMENTS,"60 Lorong 16 Geylang, 398887"
CANBERLIN LODGE,"69 Lorong 6 Geylang, 399221"
CANBERRA RESIDENCES,"501 Canberra Drive, 768124"
CANDEVILLE,"37 Lorong M Telok Kurau, 425316"
CANNAVILLE,"34 Duku Road, 429192"
CANNE LODGE,"75 Lorong 3 Geylang, 388869"
CANNINGHILL PIERS,"1 Clarke Quay, 179882"
CANTIZ @ RAMBAI,"21 Rambai Road, 42434"
CAPE ROYALE,"11 Cove Way, 98202"
CARABELLE,"51 West Coast Way, 127015"
CARDIFF RESIDENCE,"101 Cardiff Grove, 558961"
CARIBBEAN AT KEPPEL BAY,"46 Keppel Bay Drive, 98635"
CARISSA PARK CONDOMINIUM,"2 Flora Drive, 507025"
