,Condo Name,Address
648,GRANGE INFINITE,"GRANGE INFINITE, Singapore"
649,GRANGE RESIDENCES,"GRANGE RESIDENCES, Singapore"
650,GRAY LANE,"GRAY LANE, Singapore"
651,GRAY MANSIONS,"GRAY MANSIONS, Singapore"
653,GREEN PARK,"GREEN PARK, Singapore"
655,GROSVENOR VIEW,"GROSVENOR VIEW, Singapore"
656,GUILIN COURT,"GUILIN COURT, Singapore"
657,GUILIN MANSIONS,"GUILIN MANSIONS, Singapore"
658,GUILIN VIEW,"GUILIN VIEW, Singapore"
659,GUILLEMARD APARTMENTS,"GUILLEMARD APARTMENTS, Singapore"
660,GUILLEMARD EDGE,"GUILLEMARD EDGE, Singapore"
661,GUILLEMARD SUITES,"GUILLEMARD SUITES, Singapore"
663,H2O RESIDENCES,"H2O RESIDENCES, Singapore"
664,HAIG 162,"HAIG 162, Singapore"
666,HAIG COURT,"HAIG COURT, Singapore"
670,HAIG TEN,"HAIG TEN, Singapore"
671,HALLMARK RESIDENCES,"HALLMARK RESIDENCES, Singapore"
674,HARBOUR SUITES,"HARBOUR SUITES, Singapore"
675,HARBOUR VIEW GARDENS,"HARBOUR VIEW GARDENS, Singapore"
676,HARBOUR VIEW TOWERS,"HARBOUR VIEW TOWERS, Singapore"
677,HARBOURLIGHTS,"HARBOURLIGHTS, Singapore"
678,HARVEST MANSIONS,"HARVEST MANSIONS, Singapore"
679,HAWAII TOWER,"HAWAII TOWER, Singapore"
680,HEDGES PARK CONDOMINIUM,"HEDGES PARK CONDOMINIUM, Singapore"
682,HERITAGE APARTMENTS,"HERITAGE APARTMENTS, Singapore"
685,HERITAGE VIEW,"HERITAGE VIEW, Singapore"
686,HERON BAY,"HERON BAY, Singapore"
687,HERTFORD COLLECTION,"HERTFORD COLLECTION, Singapore"
690,HIGH PARK RESIDENCES,"HIGH PARK RESIDENCES, Singapore"
691,HIGH POINT,"HIGH POINT, Singapore"
692,HIGHGATE,"HIGHGATE, Singapore"
693,HIGHLAND CENTRE,"HIGHLAND CENTRE, Singapore"
695,HIGHLINE RESIDENCES,"HIGHLINE RESIDENCES, Singapore"
698,HILLBROOKS,"HILLBROOKS, Singapore"
699,HILLCREST ARCADIA,"HILLCREST ARCADIA, Singapore"
701,HILLS TWOONE,"HILLS TWOONE, Singapore"
702,HILLSIDE MANSIONS,"HILLSIDE MANSIONS, Singapore"
703,HILLSTA,"HILLSTA, Singapore"
704,HILLTOP GROVE,"HILLTOP GROVE, Singapore"
705,HILLTOPS,"HILLTOPS, Singapore"
706,HILLVIEW 128,"HILLVIEW 128, Singapore"
707,HILLVIEW APARTMENTS,"HILLVIEW APARTMENTS, Singapore"
708,HILLVIEW AVENUE,"HILLVIEW AVENUE, Singapore"
709,HILLVIEW GREEN,"HILLVIEW GREEN, Singapore"
710,HILLVIEW REGENCY,"HILLVIEW REGENCY, Singapore"
711,HILLVIEW RESIDENCE,"HILLVIEW RESIDENCE, Singapore"
712,HILLVISTA,"HILLVISTA, Singapore"
714,HOLLAND 100,"HOLLAND 100, Singapore"
715,HOLLAND COURT,"HOLLAND COURT, Singapore"
716,HOLLAND GEMS,"HOLLAND GEMS, Singapore"
717,HOLLAND HILL LODGE,"HOLLAND HILL LODGE, Singapore"
718,HOLLAND HILL PARK,"HOLLAND HILL PARK, Singapore"
719,HOLLAND MANSION,"HOLLAND MANSION, Singapore"
721,HOLLAND PEAK,"HOLLAND PEAK, Singapore"
724,HOLLAND VIEW,"HOLLAND VIEW, Singapore"
725,HOLLANDSWOOD COURT,"HOLLANDSWOOD COURT, Singapore"
727,HOLT RESIDENCES,"HOLT RESIDENCES, Singapore"
729,HONG BUILDING,"HONG BUILDING, Singapore"
731,HONG HENG MANSIONS,"HONG HENG MANSIONS, Singapore"
732,HONOLULU TOWER,"HONOLULU TOWER, Singapore"
734,HORIZON GARDENS,"HORIZON GARDENS, Singapore"
735,HORIZON RESIDENCES,"HORIZON RESIDENCES, Singapore"
736,HORIZON TOWERS,"HORIZON TOWERS, Singapore"
738,HOUGANG AVENUE 2,"HOUGANG AVENUE 2, Singapore"
739,HOUGANG GREEN,"HOUGANG GREEN, Singapore"
740,HUA YU MANSION,"HUA YU MANSION, Singapore"
741,HULLET RISE,"HULLET RISE, Singapore"
742,HUNDRED TREES,"HUNDRED TREES, Singapore"
743,ICON,"ICON, Singapore"
744,IDYLLIC EAST,"IDYLLIC EAST, Singapore"
746,IDYLLIC SUITES,"IDYLLIC SUITES, Singapore"
750,INTERO,"INTERO, Singapore"
751,INZ RESIDENCE,"INZ RESIDENCE, Singapore"
752,IRESIDENCES,"IRESIDENCES, Singapore"
753,IRIDIUM,"IRIDIUM, Singapore"
757,IVORY,"IVORY, Singapore"
759,IVORY HEIGHTS,"IVORY HEIGHTS, Singapore"
760,J C DRAYCOTT,"J C DRAYCOTT, Singapore"
762,JADE GARDEN,"JADE GARDEN, Singapore"
763,JADE MANSION,"JADE MANSION, Singapore"
764,JADE RESIDENCES,"JADE RESIDENCES, Singapore"
765,JADESCAPE,"JADESCAPE, Singapore"
766,JALAN DATOH,"JALAN DATOH, Singapore"
767,JALAN DUSUN,"JALAN DUSUN, Singapore"
768,JANSEN 28,"JANSEN 28, Singapore"
773,JC VILLE,"JC VILLE, Singapore"
776,JERVOIS GROVE,"JERVOIS GROVE, Singapore"
778,JERVOIS MANSIONS,"JERVOIS MANSIONS, Singapore"
782,JEWEL @ BUANGKOK,"JEWEL @ BUANGKOK, Singapore"
783,JIA,"JIA, Singapore"
784,JING SUITES,"JING SUITES, Singapore"
785,JK BUILDING,"JK BUILDING, Singapore"
786,JLB RESIDENCES,"JLB RESIDENCES, Singapore"
787,JOO CHIAT APARTMENTS,"JOO CHIAT APARTMENTS, Singapore"
791,JOOL SUITES,"JOOL SUITES, Singapore"
792,JUBILEE RESIDENCE,"JUBILEE RESIDENCE, Singapore"
793,JUNIPER AT ARDMORE,"JUNIPER AT ARDMORE, Singapore"
794,JUPITER 18,"JUPITER 18, Singapore"
795,K GARDEN,"K GARDEN, Singapore"
799,KANDIS RESIDENCE,"KANDIS RESIDENCE, Singapore"
801,KAP RESIDENCES,"KAP RESIDENCES, Singapore"
802,KARTAR APARTMENTS,"KARTAR APARTMENTS, Singapore"
807,KATONG REGENCY,"KATONG REGENCY, Singapore"
808,KATONG VILLE,"KATONG VILLE, Singapore"
809,KELIVILLE,"KELIVILLE, Singapore"
811,KEMBANGAN COURT,"KEMBANGAN COURT, Singapore"
812,KEMBANGAN PLAZA,"KEMBANGAN PLAZA, Singapore"
813,KEMBANGAN SUITES,"KEMBANGAN SUITES, Singapore"
818,KENSINGTON SQUARE,"KENSINGTON SQUARE, Singapore"
819,KENT RESIDENCES,"KENT RESIDENCES, Singapore"
820,KENT VALE,"KENT VALE, Singapore"
821,KENTISH COURT,"KENTISH COURT, Singapore"
822,KENTISH GREEN,"KENTISH GREEN, Singapore"
823,KENTISH LODGE,"KENTISH LODGE, Singapore"
824,KENTVIEW PARK,"KENTVIEW PARK, Singapore"
825,KERRISDALE,"KERRISDALE, Singapore"
827,KILAT 19,"KILAT 19, Singapore"
828,KILAT CENTRE,"KILAT CENTRE, Singapore"
829,KILAT COURT,"KILAT COURT, Singapore"
831,KIM KEAT GARDENS,"KIM KEAT GARDENS, Singapore"
832,KIM KEAT HOUSE,"KIM KEAT HOUSE, Singapore"
833,KIM KEAT LODGE,"KIM KEAT LODGE, Singapore"
834,KIM SIA COURT,"KIM SIA COURT, Singapore"
837,KING'S ARCADE,"KING'S ARCADE, Singapore"
838,KING'S COURT,"KING'S COURT, Singapore"
839,KING'S MANSION,"KING'S MANSION, Singapore"
842,KINGSFORD WATERBAY,"KINGSFORD WATERBAY, Singapore"
843,KINGSGROVE,"KINGSGROVE, Singapore"
844,KINGSLEY MANSIONS,"KINGSLEY MANSIONS, Singapore"
846,KISMIS COURT,"KISMIS COURT, Singapore"
847,KISMIS VIEW,"KISMIS VIEW, Singapore"
848,KJ MANSION,"KJ MANSION, Singapore"
850,KNOX VIEW,"KNOX VIEW, Singapore"
853,KOVAN 81,"KOVAN 81, Singapore"
854,KOVAN APARTMENTS,"KOVAN APARTMENTS, Singapore"
855,KOVAN CENTRE,"KOVAN CENTRE, Singapore"
856,KOVAN CREST,"KOVAN CREST, Singapore"
857,KOVAN ESQUIRE,"KOVAN ESQUIRE, Singapore"
859,KOVAN MELODY,"KOVAN MELODY, Singapore"
860,KOVAN PRIMERA,"KOVAN PRIMERA, Singapore"
861,KOVAN REGENCY,"KOVAN REGENCY, Singapore"
862,KOVAN RESIDENCES,"KOVAN RESIDENCES, Singapore"
863,KOVANA,"KOVANA, Singapore"
864,KUIE PONG LOFT,"KUIE PONG LOFT, Singapore"
865,KUM HING COURT,"KUM HING COURT, Singapore"
867,L'VIV,"L'VIV, Singapore"
868,LA BRISA,"LA BRISA, Singapore"
869,LA CASA,"LA CASA, Singapore"
870,LA CRYSTAL,"LA CRYSTAL, Singapore"
871,LA DOLCE VITA,"LA DOLCE VITA, Singapore"
872,LA FIESTA,"LA FIESTA, Singapore"
873,LA FLEUR,"LA FLEUR, Singapore"
874,LA MAISON,"LA MAISON, Singapore"
875,LA MEYER,"LA MEYER, Singapore"
876,LA NOUVELLE,"LA NOUVELLE, Singapore"
877,LA SUISSE,"LA SUISSE, Singapore"
878,LA VIDA @ 130,"LA VIDA @ 130, Singapore"
879,LAGUNA 88,"LAGUNA 88, Singapore"
880,LAGUNA GREEN,"LAGUNA GREEN, Singapore"
881,LAKE GRANDE,"LAKE GRANDE, Singapore"
882,LAKE LIFE,"LAKE LIFE, Singapore"
883,LAKEHOLMZ,"LAKEHOLMZ, Singapore"
884,LAKEPOINT CONDOMINIUM,"LAKEPOINT CONDOMINIUM, Singapore"
885,LAKEVILLE,"LAKEVILLE, Singapore"
887,LANDRIDGE CONDOMINIUM,"LANDRIDGE CONDOMINIUM, Singapore"
888,LANGSTON VILLE,"LANGSTON VILLE, Singapore"
889,LATITUDE,"LATITUDE, Singapore"
891,LAVERNE'S LOFT,"LAVERNE'S LOFT, Singapore"
892,LE ARC,"LE ARC, Singapore"
895,LE CRESCENDO,"LE CRESCENDO, Singapore"
896,LE GAMBIR,"LE GAMBIR, Singapore"
897,LE HILL CONDOMINIUM,"LE HILL CONDOMINIUM, Singapore"
898,LE LOYANG,"LE LOYANG, Singapore"
899,LE M RESIDENCE,"LE M RESIDENCE, Singapore"
900,LE MARICAN,"LE MARICAN, Singapore"
902,LE QUEST,"LE QUEST, Singapore"
903,LE REGAL,"LE REGAL, Singapore"
904,LE REVE,"LE REVE, Singapore"
905,LE SHANTIER,"LE SHANTIER, Singapore"
906,LE SOMME,"LE SOMME, Singapore"
907,LEEDON 2,"LEEDON 2, Singapore"
908,LEEDON HEIGHTS,"LEEDON HEIGHTS, Singapore"
909,LEEDON RESIDENCE,"LEEDON RESIDENCE, Singapore"
911,LEICESTER LODGE,"LEICESTER LODGE, Singapore"
912,LEICESTER SUITES,"LEICESTER SUITES, Singapore"
913,LEIGHWOODS,"LEIGHWOODS, Singapore"
915,LEONIE CONDOTEL,"LEONIE CONDOTEL, Singapore"
916,LEONIE GARDENS,"LEONIE GARDENS, Singapore"
917,LEONIE HILL RESIDENCES,"LEONIE HILL RESIDENCES, Singapore"
918,LEONIE PARC VIEW,"LEONIE PARC VIEW, Singapore"
920,LEONIE TOWERS,"LEONIE TOWERS, Singapore"
921,LEVENUE,"LEVENUE, Singapore"
924,LIEN TOWERS,"LIEN TOWERS, Singapore"
925,LILYDALE,"LILYDALE, Singapore"
926,LIMAU PARK,"LIMAU PARK, Singapore"
927,LINCOLN SUITES,"LINCOLN SUITES, Singapore"
928,LION TOWERS,"LION TOWERS, Singapore"
929,LIVIA,"LIVIA, Singapore"
931,LLOYD COURT,"LLOYD COURT, Singapore"
932,LLOYD MANSION,"LLOYD MANSION, Singapore"
933,LLOYD SIXTYFIVE,"LLOYD SIXTYFIVE, Singapore"
934,LOFT 33,"LOFT 33, Singapore"
937,LOFT @ STEVENS,"LOFT @ STEVENS, Singapore"
938,LOFT@HOLLAND,"LOFT@HOLLAND, Singapore"
939,LORONG 31 GEYLANG,"LORONG 31 GEYLANG, Singapore"
940,LOYANG GARDENS,"LOYANG GARDENS, Singapore"
941,LUCIDA,"LUCIDA, Singapore"
942,LUMA,"LUMA, Singapore"
943,LUSH ACRES,"LUSH ACRES, Singapore"
944,LUSH ON HOLLAND HILL,"LUSH ON HOLLAND HILL, Singapore"
945,LUTHERAN TOWERS,"LUTHERAN TOWERS, Singapore"
946,LUXE VILLE,"LUXE VILLE, Singapore"
947,M SUITES,"M SUITES, Singapore"
948,M21,"M21, Singapore"
949,MABELLE,"MABELLE, Singapore"
950,MACPHERSON GREEN,"MACPHERSON GREEN, Singapore"
951,MADEIRA COURT,"MADEIRA COURT, Singapore"
952,MADISON RESIDENCES,"MADISON RESIDENCES, Singapore"
953,MALVERN SPRINGS,"MALVERN SPRINGS, Singapore"
954,MANDALAY MANSION,"MANDALAY MANSION, Singapore"
955,MANDALAY TOWERS,"MANDALAY TOWERS, Singapore"
956,MANDALE HEIGHTS,"MANDALE HEIGHTS, Singapore"
957,MANDARIN GARDENS,"MANDARIN GARDENS, Singapore"
959,MANSIONS 28,"MANSIONS 28, Singapore"
961,MARGARET VILLE,"MARGARET VILLE, Singapore"
963,MARINA COLLECTION,"MARINA COLLECTION, Singapore"
964,MARINE BLUE,"MARINE BLUE, Singapore"
965,MARINE MANSION,"MARINE MANSION, Singapore"
967,MARINE VIEW MANSION,"MARINE VIEW MANSION, Singapore"
968,MARINE VIEW MANSIONS,"MARINE VIEW MANSIONS, Singapore"
969,MARINE VILLE,"MARINE VILLE, Singapore"
971,MARTIA 8,"MARTIA 8, Singapore"
974,MARTIN PLACE RESIDENCES,"MARTIN PLACE RESIDENCES, Singapore"
975,MARTINA MANSIONS,"MARTINA MANSIONS, Singapore"
976,MARYLAND PARK,"MARYLAND PARK, Singapore"
977,MARYMOUNT VIEW,"MARYMOUNT VIEW, Singapore"
978,MAYA,"MAYA, Singapore"
981,MEADOWLODGE,"MEADOWLODGE, Singapore"
982,MEADOWS @ PEIRCE,"MEADOWS @ PEIRCE, Singapore"
983,MEDGE,"MEDGE, Singapore"
986,MELOSA,"MELOSA, Singapore"
987,MELROSE PARK,"MELROSE PARK, Singapore"
988,MELROSE VILLE,"MELROSE VILLE, Singapore"
989,MELVILLE PARK,"MELVILLE PARK, Singapore"
990,MENDON SPRING,"MENDON SPRING, Singapore"
991,MENG GARDEN,"MENG GARDEN, Singapore"
992,MERA EAST,"MERA EAST, Singapore"
993,MERA SPRINGS,"MERA SPRINGS, Singapore"
995,MERAPRIME,"MERAPRIME, Singapore"
996,MERAWOODS,"MERAWOODS, Singapore"
997,MERGUI MANSIONS,"MERGUI MANSIONS, Singapore"
998,MERIDIAN 38,"MERIDIAN 38, Singapore"
1000,METRO LOFT,"METRO LOFT, Singapore"
1001,MEYA LODGE,"MEYA LODGE, Singapore"
1002,MEYER PARK,"MEYER PARK, Singapore"
1003,MEYER RESIDENCE,"MEYER RESIDENCE, Singapore"
1004,MI CASA,"MI CASA, Singapore"
1005,MIDTOWN RESIDENCES,"MIDTOWN RESIDENCES, Singapore"
1006,MILL CREEK,"MILL CREEK, Singapore"
1007,MILL POINT,"MILL POINT, Singapore"
1008,MINBU COURT,"MINBU COURT, Singapore"
1009,MINBU VILLA,"MINBU VILLA, Singapore"
1010,MINT RESIDENCES @ JANSEN,"MINT RESIDENCES @ JANSEN, Singapore"
1011,MIRO,"MIRO, Singapore"
1012,MODA,"MODA, Singapore"
1013,MODENA,"MODENA, Singapore"
1015,MONARCHY APARTMENTS,"MONARCHY APARTMENTS, Singapore"
1017,MONTEBLEU,"MONTEBLEU, Singapore"
1019,MONTROSA,"MONTROSA, Singapore"
1020,MONTVIEW,"MONTVIEW, Singapore"
1021,MONVILLE MANSIONS,"MONVILLE MANSIONS, Singapore"
1022,MORI,"MORI, Singapore"
1023,MORIMASA GARDENS,"MORIMASA GARDENS, Singapore"
1025,MOULMEIN COURT,"MOULMEIN COURT, Singapore"
1026,MOULMEIN STUDIOS,"MOULMEIN STUDIOS, Singapore"
1027,MOUNT FABER LODGE,"MOUNT FABER LODGE, Singapore"
1028,MOUNT ROSIE GARDEN,"MOUNT ROSIE GARDEN, Singapore"
1031,MULBERRY TREE,"MULBERRY TREE, Singapore"
1032,MUTIARA CREST,"MUTIARA CREST, Singapore"
1033,MUTIARA VIEW,"MUTIARA VIEW, Singapore"
1034,MY MANHATTAN,"MY MANHATTAN, Singapore"
1036,NASSIM 9,"NASSIM 9, Singapore"
1037,NASSIM JADE,"NASSIM JADE, Singapore"
1038,NASSIM LODGE,"NASSIM LODGE, Singapore"
1040,NASSIM PARK RESIDENCES,"NASSIM PARK RESIDENCES, Singapore"
1042,NASSIMVILLE,"NASSIMVILLE, Singapore"
1043,NATHAN RESIDENCES,"NATHAN RESIDENCES, Singapore"
1045,NATURA @ HILLVIEW,"NATURA @ HILLVIEW, Singapore"
1046,NATURALIS,"NATURALIS, Singapore"
1047,NATURE MANSIONS,"NATURE MANSIONS, Singapore"
1048,NAUNG RESIDENCE,"NAUNG RESIDENCE, Singapore"
1049,NEEM TREE,"NEEM TREE, Singapore"
1050,NEPTUNE COURT,"NEPTUNE COURT, Singapore"
1051,NESS,"NESS, Singapore"
1052,NEW COURT,"NEW COURT, Singapore"
1054,NEWEST,"NEWEST, Singapore"
1055,NEWTON 18,"NEWTON 18, Singapore"
1056,NEWTON EDGE,"NEWTON EDGE, Singapore"
1057,NEWTON GEMS,"NEWTON GEMS, Singapore"
1058,NEWTON IMPERIAL,"NEWTON IMPERIAL, Singapore"
1061,NEWTON ONE,"NEWTON ONE, Singapore"
1062,NEWTON SUITES,"NEWTON SUITES, Singapore"
1063,NICOLE GREEN,"NICOLE GREEN, Singapore"
1064,NIM GARDENS,"NIM GARDENS, Singapore"
1066,NINE DEGREES,"NINE DEGREES, Singapore"
1071,NORMANTON PARK,"NORMANTON PARK, Singapore"
1072,NORTH PARK RESIDENCES,"NORTH PARK RESIDENCES, Singapore"
1073,NORTHOAKS,"NORTHOAKS, Singapore"
1074,NORTHVALE,"NORTHVALE, Singapore"
1075,NORTHWOOD,"NORTHWOOD, Singapore"
1076,NOUVEL 18,"NOUVEL 18, Singapore"
1077,NOUVELLE PARK,"NOUVELLE PARK, Singapore"
1078,NOVA 48,"NOVA 48, Singapore"
1079,NOVELIS,"NOVELIS, Singapore"
1080,NOVENA COURT,"NOVENA COURT, Singapore"
1081,NOVENA HILL,"NOVENA HILL, Singapore"
1082,NOVENA LODGE,"NOVENA LODGE, Singapore"
1083,NOVENA REGENCY,"NOVENA REGENCY, Singapore"
1084,NOVENA SUITES,"NOVENA SUITES, Singapore"
1085,NUOVO,"NUOVO, Singapore"
1086,NUTMEG COURT,"NUTMEG COURT, Singapore"
1087,NV RESIDENCES,"NV RESIDENCES, Singapore"
1088,OASIS @ ELIAS,"OASIS @ ELIAS, Singapore"
1089,OASIS GARDEN,"OASIS GARDEN, Singapore"
1090,OCEAN PARK,"OCEAN PARK, Singapore"
1091,OCEANFRONT SUITES,"OCEANFRONT SUITES, Singapore"
1092,OEI TIONG HAM PARK RESIDENCES,"OEI TIONG HAM PARK RESIDENCES, Singapore"
1093,OKIO,"OKIO, Singapore"
1095,OLEANAS RESIDENCE,"OLEANAS RESIDENCE, Singapore"
1096,OLEANDER TOWERS,"OLEANDER TOWERS, Singapore"
1097,ONAN COURT,"ONAN COURT, Singapore"
1100,ONE AKYAB,"ONE AKYAB, Singapore"
1101,ONE AMBER,"ONE AMBER, Singapore"
1102,ONE BALMORAL,"ONE BALMORAL, Singapore"
1103,ONE CHATSWORTH,"ONE CHATSWORTH, Singapore"
1104,ONE DEVONSHIRE,"ONE DEVONSHIRE, Singapore"
1105,ONE DRAYCOTT,"ONE DRAYCOTT, Singapore"
1106,ONE DUCHESS,"ONE DUCHESS, Singapore"
1107,ONE DUSUN RESIDENCES,"ONE DUSUN RESIDENCES, Singapore"
1111,ONE LEICESTER,"ONE LEICESTER, Singapore"
1112,ONE ROBIN,"ONE ROBIN, Singapore"
1117,OPAL SUITES,"OPAL SUITES, Singapore"
1118,OPTIMA @ TANAH MERAH,"OPTIMA @ TANAH MERAH, Singapore"
1119,ORANGE GROVE RESIDENCES,"ORANGE GROVE RESIDENCES, Singapore"
1121,ORANGE REGENCY,"ORANGE REGENCY, Singapore"
1123,ORCHARD COURT,"ORCHARD COURT, Singapore"
1124,ORCHARD SCOTTS,"ORCHARD SCOTTS, Singapore"
1126,ORCHARD VIEW,"ORCHARD VIEW, Singapore"
1128,ORCHID APARTMENTS,"ORCHID APARTMENTS, Singapore"
1129,ORCHID MANSION,"ORCHID MANSION, Singapore"
1130,ORCHID PARK CONDOMINIUM,"ORCHID PARK CONDOMINIUM, Singapore"
1131,OUE TWIN PEAKS,"OUE TWIN PEAKS, Singapore"
1133,OWEN 88,"OWEN 88, Singapore"
1135,OXFORD SUITES,"OXFORD SUITES, Singapore"
1136,OXLEY GARDEN,"OXLEY GARDEN, Singapore"
1138,OXLEY RESIDENCE,"OXLEY RESIDENCE, Singapore"
1140,PALISADES,"PALISADES, Singapore"
1142,PALM GREEN,"PALM GREEN, Singapore"
1144,PALM HAVEN,"PALM HAVEN, Singapore"
1145,PALM ISLES,"PALM ISLES, Singapore"
1146,PALM LODGE,"PALM LODGE, Singapore"
1147,PALM LOFT,"PALM LOFT, Singapore"
1148,PALM MANSIONS,"PALM MANSIONS, Singapore"
1149,PALM OASIS,"PALM OASIS, Singapore"
1150,PALM RESIDENCE,"PALM RESIDENCE, Singapore"
1151,PALM SPRING,"PALM SPRING, Singapore"
1152,PALM VISTA,"PALM VISTA, Singapore"
1153,PALMERA EAST,"PALMERA EAST, Singapore"
1154,PALMERA RESIDENCE,"PALMERA RESIDENCE, Singapore"
1155,PANDAN VALLEY,"PANDAN VALLEY, Singapore"
1156,PAPILLON,"PAPILLON, Singapore"
1159,PARC ASTON,"PARC ASTON, Singapore"
1160,PARC BLEU,"PARC BLEU, Singapore"
1161,PARC BOTANNIA,"PARC BOTANNIA, Singapore"
1162,PARC CENTENNIAL,"PARC CENTENNIAL, Singapore"
1163,PARC CENTRAL RESIDENCES,"PARC CENTRAL RESIDENCES, Singapore"
1164,PARC CENTROS,"PARC CENTROS, Singapore"
1165,PARC ELEGANCE,"PARC ELEGANCE, Singapore"
1166,PARC GREENWICH,"PARC GREENWICH, Singapore"
1167,PARC HAVEN,"PARC HAVEN, Singapore"
1168,PARC LIFE,"PARC LIFE, Singapore"
1169,PARC MONDRIAN,"PARC MONDRIAN, Singapore"
1170,PARC OASIS,"PARC OASIS, Singapore"
1171,PARC OLYMPIA,"PARC OLYMPIA, Singapore"
1172,PARC REGENCY,"PARC REGENCY, Singapore"
1173,PARC ROSEWOOD,"PARC ROSEWOOD, Singapore"
1174,PARC SEABREEZE,"PARC SEABREEZE, Singapore"
1175,PARC SOMME,"PARC SOMME, Singapore"
1176,PARC STEVENS,"PARC STEVENS, Singapore"
1177,PARC VERA,"PARC VERA, Singapore"
1178,PARC VISTA,"PARC VISTA, Singapore"
1179,PARK 1 SUITES,"PARK 1 SUITES, Singapore"
1180,PARK COLONIAL,"PARK COLONIAL, Singapore"
1181,PARK COURT,"PARK COURT, Singapore"
1182,PARK EAST,"PARK EAST, Singapore"
1183,PARK GREEN,"PARK GREEN, Singapore"
1184,PARK HOUSE,"PARK HOUSE, Singapore"
1185,PARK INFINIA AT WEE NAM,"PARK INFINIA AT WEE NAM, Singapore"
1186,PARK NATURA,"PARK NATURA, Singapore"
1187,PARK RESIDENCES @ KOVAN,"PARK RESIDENCES @ KOVAN, Singapore"
1188,PARK WEST,"PARK WEST, Singapore"
1189,PARKVIEW APARTMENTS,"PARKVIEW APARTMENTS, Singapore"
1193,PARKWAY VIEW,"PARKWAY VIEW, Singapore"
1195,PARVIS,"PARVIS, Singapore"
1196,PASIR PANJANG COURT,"PASIR PANJANG COURT, Singapore"
1197,PASIR PANJANG LODGE,"PASIR PANJANG LODGE, Singapore"
1198,PASIR VIEW PARK,"PASIR VIEW PARK, Singapore"
1200,PATENT PLACE,"PATENT PLACE, Singapore"
1201,PATERSON LINC,"PATERSON LINC, Singapore"
1202,PATERSON RESIDENCE,"PATERSON RESIDENCE, Singapore"
1203,PATERSON SUITES,"PATERSON SUITES, Singapore"
1204,PAVILION 11,"PAVILION 11, Singapore"
1206,PAYA LEBAR RESIDENCES,"PAYA LEBAR RESIDENCES, Singapore"
1207,PEACH GARDEN,"PEACH GARDEN, Singapore"
1209,PEIRCE VIEW,"PEIRCE VIEW, Singapore"
1213,PEPPERMINT GROVE,"PEPPERMINT GROVE, Singapore"
1214,PEPYS HILL CONDOMINIUM,"PEPYS HILL CONDOMINIUM, Singapore"
1215,PERFECT TEN,"PERFECT TEN, Singapore"
1218,PHOENIX HEIGHTS,"PHOENIX HEIGHTS, Singapore"
1221,PINE COURT,"PINE COURT, Singapore"
1223,PINETREE CONDO,"PINETREE CONDO, Singapore"
1224,PINEVALE,"PINEVALE, Singapore"
1225,PINEWOOD GARDENS,"PINEWOOD GARDENS, Singapore"
1226,PINNACLE 16,"PINNACLE 16, Singapore"
1227,PLATINUM EDGE,"PLATINUM EDGE, Singapore"
1228,POINT LOMA,"POINT LOMA, Singapore"
1229,PORTOFINO,"PORTOFINO, Singapore"
1230,POSHGROVE EAST,"POSHGROVE EAST, Singapore"
1232,PRESTIGE HEIGHTS,"PRESTIGE HEIGHTS, Singapore"
1233,PRESTIGE LOFT,"PRESTIGE LOFT, Singapore"
1234,PRESTIGE POINT,"PRESTIGE POINT, Singapore"
1237,PRIME RESIDENCE,"PRIME RESIDENCE, Singapore"
1240,PRINCIPAL GARDEN,"PRINCIPAL GARDEN, Singapore"
1241,PRISTINE HEIGHTS,"PRISTINE HEIGHTS, Singapore"
1243,PROVENCE RESIDENCE,"PROVENCE RESIDENCE, Singapore"
1244,PROXIMO,"PROXIMO, Singapore"
1245,Q BAY RESIDENCES,"Q BAY RESIDENCES, Singapore"
1247,QUEENS,"QUEENS, Singapore"
1248,QUEENS PEAK,"QUEENS PEAK, Singapore"
1249,QUEENSBERRY LODGE,"QUEENSBERRY LODGE, Singapore"
1251,QUESTA @ DUNMAN,"QUESTA @ DUNMAN, Singapore"
1252,QUINTERRA,"QUINTERRA, Singapore"
1253,R MAISON,"R MAISON, Singapore"
1255,RACE COURSE LANE,"RACE COURSE LANE, Singapore"
1257,RAFFLESIA CONDOMINIUM,"RAFFLESIA CONDOMINIUM, Singapore"
1260,RANGOON 88,"RANGOON 88, Singapore"
1266,REFLECTIONS AT KEPPEL BAY,"REFLECTIONS AT KEPPEL BAY, Singapore"
1268,REGAL COURT,"REGAL COURT, Singapore"
1270,REGENCY LODGE,"REGENCY LODGE, Singapore"
1271,REGENCY PARK,"REGENCY PARK, Singapore"
1272,REGENCY SUITES,"REGENCY SUITES, Singapore"
1275,REGENT GROVE,"REGENT GROVE, Singapore"
1276,REGENT HEIGHTS,"REGENT HEIGHTS, Singapore"
1277,REGENT PARK,"REGENT PARK, Singapore"
1278,REGENT RESIDENCES,"REGENT RESIDENCES, Singapore"
1280,RESIDENCES 88,"RESIDENCES 88, Singapore"
1281,RESIDENCES @ EVELYN,"RESIDENCES @ EVELYN, Singapore"
1282,RESIDENCES @ JANSEN,"RESIDENCES @ JANSEN, Singapore"
1283,RESIDENCES @ KILLINEY,"RESIDENCES @ KILLINEY, Singapore"
1284,RESIDENCES @ SOMME,"RESIDENCES @ SOMME, Singapore"
1286,REZI 3TWO,"REZI 3TWO, Singapore"
