,Condo Name,Address
152,BAYVILLE CONDOMINIUM,"BAYVILLE CONDOMINIUM, Singapore"
153,BAYWATER,"BAYWATER, Singapore"
154,BEACON HEIGHTS,"BEACON HEIGHTS, Singapore"
156,BEAUFORT ON NASSIM,"BEAUFORT ON NASSIM, Singapore"
157,BEAVERTON COURT,"BEAVERTON COURT, Singapore"
158,BEDOK COURT,"BEDOK COURT, Singapore"
160,BELLA CASITA,"BELLA CASITA, Singapore"
162,BELLE VUE RESIDENCES,"BELLE VUE RESIDENCES, Singapore"
163,BELLERIVE,"BELLERIVE, Singapore"
164,BELLEWATERS,"BELLEWATERS, Singapore"
165,BELLEWOODS,"BELLEWOODS, Singapore"
167,BELMOND GREEN,"BELMOND GREEN, Singapore"
168,BELMONDO VIEW,"BELMONDO VIEW, Singapore"
169,BELYSA,"BELYSA, Singapore"
171,BERKELEY RESIDENCES,"BERKELEY RESIDENCES, Singapore"
172,BEVERLY HILL,"BEVERLY HILL, Singapore"
173,BIJOU,"BIJOU, Singapore"
174,BIRCHWOOD MANSIONS,"BIRCHWOOD MANSIONS, Singapore"
175,BIRMINGHAM MANSIONS,"BIRMINGHAM MANSIONS, Singapore"
176,BISHAN 8,"BISHAN 8, Singapore"
177,BISHAN LOFT,"BISHAN LOFT, Singapore"
178,BISHAN POINT,"BISHAN POINT, Singapore"
179,BISHOPSGATE RESIDENCES,"BISHOPSGATE RESIDENCES, Singapore"
180,BLEU @ EAST COAST,"BLEU @ EAST COAST, Singapore"
181,BLISS LOFT,"BLISS LOFT, Singapore"
183,BLISS RESIDENCES,"BLISS RESIDENCES, Singapore"
185,BLOSSOM RESIDENCES,"BLOSSOM RESIDENCES, Singapore"
186,BLOSSOM VIEW,"BLOSSOM VIEW, Singapore"
187,BLOSSOMS @ WOODLEIGH,"BLOSSOMS @ WOODLEIGH, Singapore"
188,BLU CORAL,"BLU CORAL, Singapore"
189,BLUE HORIZON,"BLUE HORIZON, Singapore"
190,BLUWATERS 2,"BLUWATERS 2, Singapore"
191,BOATHOUSE RESIDENCES,"BOATHOUSE RESIDENCES, Singapore"
192,BOON COURT,"BOON COURT, Singapore"
193,BOON TECK APARTMENTS,"BOON TECK APARTMENTS, Singapore"
194,BOON TECK LODGE,"BOON TECK LODGE, Singapore"
195,BOON TECK TOWER,"BOON TECK TOWER, Singapore"
196,BOONVIEW,"BOONVIEW, Singapore"
197,BOTANIC GARDENS MANSION,"BOTANIC GARDENS MANSION, Singapore"
198,BOTANIC GARDENS VIEW,"BOTANIC GARDENS VIEW, Singapore"
199,BOTANIKA,"BOTANIKA, Singapore"
201,BOTANNIA,"BOTANNIA, Singapore"
202,BOUGAINVILLA APARTMENTS,"BOUGAINVILLA APARTMENTS, Singapore"
203,BOULEVARD VUE,"BOULEVARD VUE, Singapore"
205,BRADDELL PARK,"BRADDELL PARK, Singapore"
208,BRIGHTON VIEW,"BRIGHTON VIEW, Singapore"
211,BUCKLEY 18,"BUCKLEY 18, Singapore"
212,BUCKLEY RESIDENCE,"BUCKLEY RESIDENCE, Singapore"
213,BUKIT REGENCY,"BUKIT REGENCY, Singapore"
215,BULLION PARK,"BULLION PARK, Singapore"
216,BUONA LODGE,"BUONA LODGE, Singapore"
217,BUONA VISTA GARDENS,"BUONA VISTA GARDENS, Singapore"
218,BUTTERWORTH 33,"BUTTERWORTH 33, Singapore"
219,BUTTERWORTH VIEW,"BUTTERWORTH VIEW, Singapore"
220,CADENCE LIGHT,"CADENCE LIGHT, Singapore"
221,CAIRNHILL ASTORIA,"CAIRNHILL ASTORIA, Singapore"
