Index,Condo Name,Address,Postal Code
103,ASTON MANSIONS,"3 Lorong 42 Geylang, 398026",398026
104,ASTOR GREEN,"3 Pine Grove, 59759",597591
105,ASTORIA PARK,"30 Lorong Mydin, 416825",416825
106,ASTRID MEADOWS,"38 Coronation Road West, 269257",269257
107,ATHENA VILLE,"25 Lorong 29 Geylang, 388074",388074
108,ATRIUM RESIDENCES,"512 Geylang Road, 389468",389468
109,AURA 83,"83 Duku Road, 429247",429247
110,AURALIS,"587 East Coast Road, 423423",423423
111,AUSTVILLE RESIDENCES,"11 Sengkang East Avenue, 544804",544804
112,AVA TOWERS,"10 Ava Road, 329949",329949
113,AVALON,"23 Anderson Road, 259985",259985
114,AVENUE PARK,"140 Sixth Avenue, 276531",276531
115,AVILA GARDENS,"11 Flora Road, 509732",509732
116,AVON PARK,"1 Youngberg Terrace, 357741",357741
117,AXIS @ SIGLAP,"59 East Coast Terrace, 45895",458950
118,AZALEA PARK CONDOMINIUM,"2 Flora Road, 509725",509725
119,BAGNALL COURT,"811 Upper East Coast Road, 466608",466608
120,BALCON EAST,"482 Upper East Coast Road, 466519",466519
121,BALESTIER 288,"288 Balestier Road, 329731",329731
122,BALESTIER MANSION,"4 Ah Hood Road, 329973",329973
123,BALESTIER PLAZA,"400 Balestier Road, 329802",329802
124,BALESTIER POINT,"279 Balestier Road, 329727",329727
125,BALESTIER REGENCY,"4 Jalan Ampas, 329505",329505
126,BALLOTA PARK CONDOMINIUM,"150 Mariam Way, 507079",507079
127,BALMORAL 8,"8 Balmoral Road, 259792",259792
128,BALMORAL CONDOMINIUM,"16 Balmoral Road, 259802",259802
129,BALMORAL CREST,"1 Balmoral Crescent, 259882",259882
130,BALMORAL GATE,"33 Balmoral Road, 259811",259811
131,BALMORAL GREEN,"13 Balmoral Road, 259799",259799
132,BALMORAL HEIGHTS,"8 Balmoral Crescent, 259928",259928
133,BALMORAL HILLS,"9 Balmoral Park, 259844",259844
134,BALMORAL LUCK,"6 Balmoral Road, 259787",259787
135,BALMORAL PLACE,"20 Balmoral Crescent, 259917",259917
136,BALMORAL POINT,"23 Balmoral Road, 259806",259806
137,BALMORAL RESIDENCES,"12 Balmoral Crescent, 259905",259905
138,BALMORAL TOWER,"27 Balmoral Road, 259808",259808
139,BALMY COURT,"6 Lorong 27a Geylang, 388105",388105
140,BANYAN CONDOMINIUM,"1 Chwee Chian Road, 119744",119744
141,BAODE BUILDING,"8 Lorong 35 Geylang, 38794",387940
142,BARTLEY RESIDENCES,"1 Lorong How Sun, 536558",536558
143,BARTLEY RIDGE,"30 Mount Vernon Road, 368055",368055
144,BARTLEY VUE,"6 Jalan Bunga Rampai, 53831",538311
145,BASSEIN COURT,"5 Bassein Road, 309836",309836
146,BASSEIN ROAD,"1 Bassein Road, 309834",309834
147,BAYOU RESIDENCE,"349 Upper Paya Lebar Road, 534957",534957
