Index,Condo Name,Address
109,ASTRID MEADOWS,"38 Coronation Road West, 269257"
110,ATHENA VILLE,"25 Lorong 29 Geylang, 388074"
111,ATRIUM RESIDENCES,"512 Geylang Road, 389468"
112,AURA 83,"83 Duku Road, 429247"
113,AURALIS,"587 East Coast Road, 423423"
114,AUSTVILLE RESIDENCES,"11 Sengkang East Avenue, 544804"
115,AVA TOWERS,"10 Ava Road, 329949"
116,AVALON,"23 Anderson Road, 259985"
117,AVENUE PARK,"140 Sixth Avenue, 276531"
118,AVILA GARDENS,"11 Flora Road, 509732"
119,AVON PARK,"1 Youngberg Terrace, 357741"
120,AXIS @ SIGLAP,"59 East Coast Terrace, 45895"
121,AZALEA PARK CONDOMINIUM,"2 Flora Road, 509725"
122,BAGNALL COURT,"811 Upper East Coast Road, 466608"
123,BALCON EAST,"482 Upper East Coast Road, 466519"
124,BALESTIER 288,"288 Balestier Road, 329731"
125,BALESTIER MANSION,"4 Ah Hood Road, 329973"
126,BALESTIER PLAZA,"400 Balestier Road, 329802"
127,BALESTIER POINT,"279 Balestier Road, 329727"
128,BALESTIER REGENCY,"4 Jalan Ampas, 329505"
129,BALLOTA PARK CONDOMINIUM,"150 Mariam Way, 507079"
130,BALMORAL 8,"8 Balmoral Road, 259792"
131,BALMORAL CONDOMINIUM,"16 Balmoral Road, 259802"
132,BALMORAL CREST,"1 Balmoral Crescent, 259882"
133,BALMORAL GATE,"33 Balmoral Road, 259811"
134,BALMORAL GREEN,"13 Balmoral Road, 259799"
135,BALMORAL HEIGHTS,"8 Balmoral Crescent, 259928"
136,BALMORAL HILLS,"9 Balmoral Park, 259844"
137,BALMORAL LUCK,"6 Balmoral Road, 259787"
138,BALMORAL PLACE,"20 Balmoral Crescent, 259917"
139,BALMORAL POINT,"23 Balmoral Road, 259806"
140,BALMORAL RESIDENCES,"12 Balmoral Crescent, 259905"
141,BALMORAL TOWER,"27 Balmoral Road, 259808"
142,BALMY COURT,"6 Lorong 27a Geylang, 388105"
143,BANYAN CONDOMINIUM,"1 Chwee Chian Road, 119744"
144,BAODE BUILDING,"8 Lorong 35 Geylang, 38794"
145,BARTLEY RESIDENCES,"1 Lorong How Sun, 536558"
146,BARTLEY RIDGE,"30 Mount Vernon Road, 368055"
147,BARTLEY VUE,"6 Jalan Bunga Rampai, 53831"
148,BASSEIN COURT,"5 Bassein Road, 309836"
149,BASSEIN ROAD,"1 Bassein Road, 309834"
150,BAYOU RESIDENCE,"349 Upper Paya Lebar Road, 534957"
151,BAYSHORE PARK,"50 Bayshore Road, 469977"
152,BAYVILLE CONDOMINIUM,"42 South Buona Vista Road, 118166"
153,BAYWATER,"808 Bedok Reservoir Road, 47924"
154,BEACON HEIGHTS,"8 Mar Thoma Road, 328689"
155,BEATTY ROAD,"1 Beatty Road, 209943"
156,BEAUFORT ON NASSIM,"12 Nassim Road, 25838"
157,BEAVERTON COURT,"45 Mount Sinai Rise, 276958"
158,BEDOK COURT,"295 Bedok South Avenue 3, 469296"
159,BEDOK RESIDENCES,"16 Bedok North Drive, 465494"
160,BELLA CASITA,"7 Ipoh Lane, 43861"
161,BELLA VISTA,"3 Sommerville Road, 358227"
162,BELLE VUE RESIDENCES,"15 Oxley Walk, 23859"
163,BELLERIVE,"9 Keng Chin Road, 258711"
164,BELLEWATERS,"11 Anchorvale Crescent, 544649"
165,BELLEWOODS,"100 Woodlands Avenue 5, 73901"
166,BELLEZZA @ KATONG,"46 Ceylon Road, 429634"
167,BELMOND GREEN,"13 Balmoral Road, 259799"
168,BELMONDO VIEW,"20 Pegu Road, 328369"
169,BELYSA,"55 Pasir Ris Drive 1, 51953"
170,BENDIGO GARDENS,"115 Koon Seng Road, 427048"
171,BERKELEY RESIDENCES,"11 Lorong N Telok Kurau, 425141"
172,BEVERLY HILL,"61 Grange Road, 24957"
173,BIJOU,"2 Jalan Mat Jambol, 119554"
174,BIRCHWOOD MANSIONS,"3 Jalan Ampas, 329504"
175,BIRMINGHAM MANSIONS,"130 Thomson Road, 307682"
176,BISHAN 8,"61 Bishan Street 21, 574044"
177,BISHAN LOFT,"31 Bishan Street 11, 579819"
178,BISHAN POINT,"61 Bright Hill Drive, 579653"
179,BISHOPSGATE RESIDENCES,"1 Bishopsgate, 247676"
180,BLEU @ EAST COAST,"560 Upper East Coast Road, 46658"
181,BLISS LOFT,"25 Kim Keat Close, 328933"
182,BLISS REGALIA,"80 Sing Avenue, 21792"
183,BLISS RESIDENCES,"17 Jalan Masjid, 418942"
184,BLOSSOM MANSIONS,"5 Lorong 37 Geylang, 387903"
185,BLOSSOM RESIDENCES,"30 Segar Road, 677721"
186,BLOSSOM VIEW,"31 Lorong 26 Geylang, 398498"
187,BLOSSOMS @ WOODLEIGH,"10 Woodleigh Close, 357905"
188,BLU CORAL,"127 Lorong L Telok Kurau, 425562"
189,BLUE HORIZON,"21 West Coast Crescent, 128045"
190,BLUWATERS 2,"205 Jalan Loyang Besar, 509456"
191,BOATHOUSE RESIDENCES,"33 Upper Serangoon View, 534042"
192,BOON COURT,"155 Still Road, 423992"
193,BOON TECK APARTMENTS,"42 Boon Teck Road, 329609"
194,BOON TECK LODGE,"46 Boon Teck Road, 32961"
195,BOON TECK TOWER,"41 Boon Teck Road, 329608"
196,BOONVIEW,"1 Marymount Terrace, 574036"
197,BOTANIC GARDENS MANSION,"2 Taman Serasi, 257718"
198,BOTANIC GARDENS VIEW,"1 Taman Serasi, 257717"
199,BOTANIKA,"50 Holland Road, 258853"
200,BOTANIQUE AT BARTLEY,"239 Upper Paya Lebar Road, 533866"
201,BOTANNIA,"29 West Coast Park, 127647"
202,BOUGAINVILLA APARTMENTS,"10 Lorong 19 Geylang, 388492"
203,BOULEVARD VUE,"11 Cuscaden Walk, 249697"
204,BOWMONT CENTRE,"20 Siglap Drive, 456192"
