Index,Condo Name,Address
1,1 CANBERRA,"7 Canberra Drive,  Singapore"
2,1 KIM KEAT CLOSE,"1 Kim Keat Close,  Singapore"
3,1 LOFT,"1 Lorong 24 Geylang,  Singapore"
4,1 MOULMEIN RISE,"1 Moulmein Rise,  Singapore"
5,1 SUITES,"1 Lorong 20 Geylang,  Singapore"
6,10 SHELFORD,"10 Shelford Road,  Singapore"
7,104 JALAN JURONG KECHIL,"104 Jalan Jurong Kechil,  Singapore"
8,11 AMBER ROAD,"11 Amber Road,  Singapore"
9,111 EMERALD HILL,"111 Emerald Hill Road,  Singapore"
10,15 EASTWOOD GREEN,"15 Eastwood Green, Singapore"
11,16 @ AMBER,"16 Amber Road,  Singapore"
12,18 WOODSVILLE,"18 Woodsville Close,  Singapore"
13,183 LONGHAUS,"183 Upper Thomson Road,  Singapore"
14,2 BELMONT,"2 Belmont Road,  Singapore"
15,2 RVG,"2 River Valley Grove,  Singapore"
16,21 RICHARDS,"21 Richards Avenue, Singapore"
17,23 RAMBUTAN ROAD,"23 Rambutan Road,  Singapore"
18,24 ONE RESIDENCES,"241 Pasir Panjang Road,  Singapore"
19,26 NEWTON,"26 Newton Road,  Singapore"
20,27 BALMORAL PARK,"27 Balmoral Park,  Singapore"
21,28 GILSTEAD ROAD,"28 Gilstead Road,  Singapore"
22,28 IMPERIAL RESIDENCES,"28 Lorong 26 Geylang,  Singapore"
23,28 RC SUITES,"28 Race Course Lane,  Singapore"
24,3 @ PHILLIPS,"3 Phillips Avenue, Singapore"
25,3 @ SANDILANDS,"3 Sandilands Road,  Singapore"
27,33 RESIDENCES,"33 Lorong 30 Geylang,  Singapore"
28,336 RIVER VALLEY,"336 River Valley Road,  Singapore"
29,368 THOMSON,"368 Thomson Road,  Singapore"
30,38 AMBER,"38 Amber Road,  Singapore"
31,38 DRAYCOTT DRIVE,"38 Draycott Drive,  Singapore"
32,38 I SUITES,"38 Ipoh Lane,  Singapore"
33,38 STEVENS ROAD,"38 Stevens Road,  Singapore"
34,381 PASIR PANJANG ROAD,"381 Pasir Panjang Road,  Singapore"
35,448 @ EAST COAST,"448 East Coast Road,  Singapore"
36,57 @ KOVAN,"57 Kovan Road,  Singapore"
38,6 DERBYSHIRE,"6 Derbyshire Road,  Singapore"
39,6 UPPER EAST COAST ROAD,6 Upper East Coast Road Singapore
40,62 CHANGI ROAD,"62 Changi Road,  Singapore"
41,7 ON CHAPEL,"7 Chapel Road, Singapore"
42,70@TRURO,"70 Truro Road,  Singapore"
43,71 WEST COAST HIGHWAY,"71 West Coast Highway,  Singapore"
44,72 GRANGE ROAD,"72 Grange Road,  Singapore"
45,8 @ WOODLEIGH,2 Woodleigh Close Singapore
46,8 BASSEIN,"8 Bassein Road,  Singapore"
