Index,Condo Name,Address
47,8 EDEN GROVE,"8 Eden Grove, Singapore"
48,8 FARRER SUITES,"8 Sing Joo Walk, Singapore"
49,8 HULLET,"8 Hullet Road, Singapore"
50,8 NAPIER,"8 Napier Road,  Singapore"
51,8 NASSIM HILL,"8 Nassim Hill,  Singapore"
52,8 ORANGE GROVE ROAD,"8 Orange Grove Road,  Singapore"
53,8 RAJA,"8 Jalan Raja Udang,  Singapore"
54,8 SAINT THOMAS,"10 Saint Thomas Walk,  Singapore"
55,833 M B RESIDENCES,"833 Mountbatten Road,  Singapore"
56,8M RESIDENCES,"8 Margate Road,  Singapore"
57,90 HOLLAND ROAD,"90 Holland Road,  Singapore"
58,91 MARSHALL,"91 Marshall Road,  Singapore"
59,AALTO,"191 Meyer Road, Singapore"
60,ADAM GREEN,"7 Adam Road,  Singapore"
61,ADANA @ THOMSON,"8 Old Upper Thomson Road,  Singapore"
62,ADORA GREEN,"134 Yishun Ave 11,  Singapore"
63,ADRIA,"12 Derbyshire Road,  Singapore"
64,AFFLUENCE COURT,"8 Ah Soo Garden, Singapore"
65,AKYAB ROAD,"4 Akyab Road,  Singapore"
66,ALBA,"8 Cairnhill Rise,  Singapore"
67,ALESSANDREA,"31 Alexandra Road,  Singapore"
68,ALEX RESIDENCES,"28 Alexandra View,  Singapore"
69,ALEXANDRA ROAD,"141 Alexandra Road,  Singapore"
70,ALEXIS,"354 Alexandra Road,  Singapore"
71,ALLSWORTH PARK,"361 Holland Road,  Singapore"
72,ALOCASSIA APARTMENTS,"383 Bukit Timah Road,  Singapore"
73,ALPHA APARTMENTS,"98 Koon Seng Road,  Singapore"
74,AMANINDA,"329 Thomson Road,  Singapore"
75,AMARANDA GARDENS,"118 Serangoon Avenue 3,  Singapore"
76,AMARYLLIS VILLE,"20 Newton Road,  Singapore"
77,AMBER 45,"45 Amber Road,  Singapore"
78,AMBER PARK,"14 Amber Gardens, Singapore"
79,AMBER POINT,"1 Amber Road,  Singapore"
80,AMBER RESIDENCES,"50 Amber Road,  Singapore"
81,AMBER SKYE,"8 Amber Road,  Singapore"
82,AMORE,"160 Punggol Central, Singapore"
83,AMPAS APARTMENTS,"5 Jalan Ampas,  Singapore"
85,ANCHOR GARDENS,"410 Upper East Coast Road,  Singapore"
86,ANGULLIA PARK RESIDENCES @ ORCHARD,"5 Cuscaden Walk,  Singapore"
87,ANGULLIA VIEW,"29 Angullia Park,  Singapore"
88,APLETON VIEW,"71 Sinaran Drive,  Singapore"
89,AQUARINE GARDENS,"91 Upper East Coast Road,  Singapore"
90,AQUARIUS BY THE PARK,"1 Bedok Reservoir View,  Singapore"
91,AQUENE,"25 Lorong Bandang,  Singapore"
92,ARC AT TAMPINES,"3 Tampines Avenue 8,  Singapore"
93,ARCHIPELAGO,"501 Bedok Reservoir Road,  Singapore"
94,ARDMORE 3,"3 Ardmore Park, Singapore"
95,ARDMORE II,"2 Ardmore Park,  Singapore"
96,ARDMORE PARK,"9 Ardmore Park,  Singapore"
97,ARDMORE RESIDENCE,"7 Ardmore Park,  Singapore"
98,ARTHUR 118,"118 Arthur Road,  Singapore"
99,ARTHUR MANSIONS,"125 Arthur Road,  Singapore"
100,ARTRA,"12 Alexandra View,  Singapore"
101,ASCENT @ 456,"456 Balestier Road,  Singapore"
102,ASCENTIA SKY,"1 Alexandra View,  Singapore"
103,ASPEN HEIGHTS,"261 River Valley Road,  Singapore"
104,ASPEN LOFT,"170 Joo Chiat Terrace,  Singapore"
105,ASTON LODGE,"56 Lorong 8 Geylang,  Singapore"
106,ASTON MANSIONS,"3 Lorong 42 Geylang,  Singapore"
107,ASTOR GREEN,"3 Pine Grove, Singapore"
108,ASTORIA PARK,"30 Lorong Mydin,  Singapore"
109,ASTRID MEADOWS,"38 Coronation Road West,  Singapore"
110,ATHENA VILLE,"25 Lorong 29 Geylang,  Singapore"
111,ATRIUM RESIDENCES,"512 Geylang Road,  Singapore"
112,AURA 83,"83 Duku Road,  Singapore"
113,AURALIS,"587 East Coast Road,  Singapore"
114,AUSTVILLE RESIDENCES,"11 Sengkang East Avenue,  Singapore"
115,AVA TOWERS,"10 Ava Road,  Singapore"
116,AVALON,"23 Anderson Road,  Singapore"
117,AVENUE PARK,"140 Sixth Avenue,  Singapore"
118,AVILA GARDENS,"11 Flora Road,  Singapore"
119,AVON PARK,"1 Youngberg Terrace,  Singapore"
120,AXIS @ SIGLAP,"59 East Coast Terrace, Singapore"
121,AZALEA PARK CONDOMINIUM,"2 Flora Road,  Singapore"
122,BAGNALL COURT,"811 Upper East Coast Road,  Singapore"
123,BALCON EAST,"482 Upper East Coast Road,  Singapore"
124,BALESTIER 288,"288 Balestier Road,  Singapore"
125,BALESTIER MANSION,"4 Ah Hood Road,  Singapore"
126,BALESTIER PLAZA,"400 Balestier Road,  Singapore"
127,BALESTIER POINT,"279 Balestier Road,  Singapore"
128,BALESTIER REGENCY,"4 Jalan Ampas,  Singapore"
129,BALLOTA PARK CONDOMINIUM,"150 Mariam Way,  Singapore"
130,BALMORAL 8,"8 Balmoral Road,  Singapore"
131,BALMORAL CONDOMINIUM,"16 Balmoral Road,  Singapore"
132,BALMORAL CREST,"1 Balmoral Crescent,  Singapore"
133,BALMORAL GATE,"33 Balmoral Road,  Singapore"
134,BALMORAL GREEN,"13 Balmoral Road,  Singapore"
135,BALMORAL HEIGHTS,"8 Balmoral Crescent,  Singapore"
136,BALMORAL HILLS,"9 Balmoral Park,  Singapore"
137,BALMORAL LUCK,"6 Balmoral Road,  Singapore"
138,BALMORAL PLACE,"20 Balmoral Crescent,  Singapore"
139,BALMORAL POINT,"23 Balmoral Road,  Singapore"
140,BALMORAL RESIDENCES,"12 Balmoral Crescent,  Singapore"
141,BALMORAL TOWER,"27 Balmoral Road,  Singapore"
142,BALMY COURT,"6 Lorong 27a Geylang,  Singapore"
143,BANYAN CONDOMINIUM,"1 Chwee Chian Road,  Singapore"
144,BAODE BUILDING,"8 Lorong 35 Geylang, Singapore"
145,BARTLEY RESIDENCES,"1 Lorong How Sun,  Singapore"
146,BARTLEY RIDGE,"30 Mount Vernon Road,  Singapore"
147,BARTLEY VUE,"6 Jalan Bunga Rampai, Singapore"
148,BASSEIN COURT,"5 Bassein Road,  Singapore"
149,BASSEIN ROAD,"1 Bassein Road,  Singapore"
150,BAYOU RESIDENCE,"349 Upper Paya Lebar Road,  Singapore"
151,BAYSHORE PARK,"50 Bayshore Road,  Singapore"
152,BAYVILLE CONDOMINIUM,"42 South Buona Vista Road,  Singapore"
153,BAYWATER,"808 Bedok Reservoir Road, Singapore"
154,BEACON HEIGHTS,"8 Mar Thoma Road,  Singapore"
155,BEATTY ROAD,"1 Beatty Road,  Singapore"
156,BEAUFORT ON NASSIM,"12 Nassim Road, Singapore"
157,BEAVERTON COURT,"45 Mount Sinai Rise,  Singapore"
158,BEDOK COURT,"295 Bedok South Avenue 3,  Singapore"
159,BEDOK RESIDENCES,"16 Bedok North Drive,  Singapore"
160,BELLA CASITA,"7 Ipoh Lane, Singapore"
161,BELLA VISTA,"3 Sommerville Road,  Singapore"
162,BELLE VUE RESIDENCES,"15 Oxley Walk, Singapore"
163,BELLERIVE,"9 Keng Chin Road,  Singapore"
164,BELLEWATERS,"11 Anchorvale Crescent,  Singapore"
165,BELLEWOODS,"100 Woodlands Avenue 5, Singapore"
166,BELLEZZA @ KATONG,"46 Ceylon Road,  Singapore"
167,BELMOND GREEN,"13 Balmoral Road,  Singapore"
168,BELMONDO VIEW,"20 Pegu Road,  Singapore"
169,BELYSA,"55 Pasir Ris Drive 1, Singapore"
170,BENDIGO GARDENS,"115 Koon Seng Road,  Singapore"
171,BERKELEY RESIDENCES,"11 Lorong N Telok Kurau,  Singapore"
172,BEVERLY HILL,"61 Grange Road, Singapore"
173,BIJOU,"2 Jalan Mat Jambol,  Singapore"
174,BIRCHWOOD MANSIONS,"3 Jalan Ampas,  Singapore"
175,BIRMINGHAM MANSIONS,"130 Thomson Road,  Singapore"
176,BISHAN 8,"61 Bishan Street 21,  Singapore"
177,BISHAN LOFT,"31 Bishan Street 11,  Singapore"
178,BISHAN POINT,"61 Bright Hill Drive,  Singapore"
179,BISHOPSGATE RESIDENCES,"1 Bishopsgate,  Singapore"
180,BLEU @ EAST COAST,"560 Upper East Coast Road, Singapore"
181,BLISS LOFT,"25 Kim Keat Close,  Singapore"
182,BLISS REGALIA,"80 Sing Avenue, Singapore"
183,BLISS RESIDENCES,"17 Jalan Masjid,  Singapore"
184,BLOSSOM MANSIONS,"5 Lorong 37 Geylang,  Singapore"
185,BLOSSOM RESIDENCES,"30 Segar Road,  Singapore"
186,BLOSSOM VIEW,"31 Lorong 26 Geylang,  Singapore"
187,BLOSSOMS @ WOODLEIGH,"10 Woodleigh Close,  Singapore"
188,BLU CORAL,"127 Lorong L Telok Kurau,  Singapore"
189,BLUE HORIZON,"21 West Coast Crescent,  Singapore"
190,BLUWATERS 2,"205 Jalan Loyang Besar,  Singapore"
191,BOATHOUSE RESIDENCES,"33 Upper Serangoon View,  Singapore"
192,BOON COURT,"155 Still Road,  Singapore"
193,BOON TECK APARTMENTS,"42 Boon Teck Road,  Singapore"
194,BOON TECK LODGE,"46 Boon Teck Road, Singapore"
195,BOON TECK TOWER,"41 Boon Teck Road,  Singapore"
196,BOONVIEW,"1 Marymount Terrace,  Singapore"
197,BOTANIC GARDENS MANSION,"2 Taman Serasi,  Singapore"
198,BOTANIC GARDENS VIEW,"1 Taman Serasi,  Singapore"
199,BOTANIKA,"50 Holland Road,  Singapore"
200,BOTANIQUE AT BARTLEY,"239 Upper Paya Lebar Road,  Singapore"
201,BOTANNIA,"29 West Coast Park,  Singapore"
202,BOUGAINVILLA APARTMENTS,"10 Lorong 19 Geylang,  Singapore"
203,BOULEVARD VUE,"11 Cuscaden Walk,  Singapore"
204,BOWMONT CENTRE,"20 Siglap Drive,  Singapore"
205,BRADDELL PARK,"58 Jalan Lateh,  Singapore"
206,BREEZE BY THE EAST,"316 Upper East Coast Road, Singapore"
207,BREEZY MANSIONS,"15 Sandilands Road,  Singapore"
208,BRIGHTON VIEW,"23 Brighton Avenue,  Singapore"
209,BRISTOL LODGE,"53 Bristol Road,  Singapore"
210,BRISTOL ROAD,"20 Bristol Road,  Singapore"
211,BUCKLEY 18,"18 Buckley Road,  Singapore"
212,BUCKLEY RESIDENCE,"6 Buckley Road,  Singapore"
213,BUKIT REGENCY,"1 Upper Bukit Timah View,  Singapore"
214,BUKIT TIMAH MANSION,"327 Bukit Timah Road,  Singapore"
215,BULLION PARK,"160 Lentor Loop,  Singapore"
216,BUONA LODGE,"1 Zehnder Road,  Singapore"
217,BUONA VISTA GARDENS,"2 Zehnder Road,  Singapore"
218,BUTTERWORTH 33,"33 Butterworth Lane,  Singapore"
219,BUTTERWORTH VIEW,"21 Butterworth Lane,  Singapore"
220,CADENCE LIGHT,"199 Telok Kurau Road,  Singapore"
221,CAIRNHILL ASTORIA,"6 Cairnhill Rise,  Singapore"
222,CAIRNHILL CREST,"2 Cairnhill Circle,  Singapore"
223,CAIRNHILL HEIGHTS,"16 Cairnhill Rise,  Singapore"
224,CAIRNHILL PLAZA,"53 Cairnhill Road,  Singapore"
225,CAIRNHILL RESIDENCES,"31 Cairnhill Circle,  Singapore"
226,CALARASI,"31 Kim Keat Lane,  Singapore"
227,CALIN MANSIONS,"30 Lorong 33 Geylang,  Singapore"
228,CALLIDORA VILLE,"19 Lorong N Telok Kurau,  Singapore"
229,CAMBIO SUITES,"28 Lim Tua Tow Road,  Singapore"
230,CAMELLIA LODGE,"31 Lorong 31 Geylang, Singapore"
231,CAMELODGE,"112 Upper East Coast Road,  Singapore"
232,CANARY VILLE,"138 Lorong J Telok Kurau,  Singapore"
233,CANBERLIN APARTMENTS,"60 Lorong 16 Geylang,  Singapore"
234,CANBERLIN LODGE,"69 Lorong 6 Geylang,  Singapore"
235,CANBERRA RESIDENCES,"501 Canberra Drive,  Singapore"
236,CANDEVILLE,"37 Lorong M Telok Kurau,  Singapore"
237,CANNAVILLE,"34 Duku Road,  Singapore"
238,CANNE LODGE,"75 Lorong 3 Geylang,  Singapore"
240,CANTIZ @ RAMBAI,"21 Rambai Road, Singapore"
241,CAPE ROYALE,"11 Cove Way, Singapore"
242,CARABELLE,"51 West Coast Way,  Singapore"
243,CARDIFF RESIDENCE,"101 Cardiff Grove,  Singapore"
244,CARIBBEAN AT KEPPEL BAY,"46 Keppel Bay Drive, Singapore"
245,CARISSA PARK CONDOMINIUM,"2 Flora Drive,  Singapore"
246,CARLISLE COURT,"35 Carlisle Road,  Singapore"
247,CARLYX GREEN,"41 Carlisle Road,  Singapore"
248,CARLYX RESIDENCE,"39 Carlisle Road,  Singapore"
249,CARMI MANSIONS,"38 Lorong 33 Geylang,  Singapore"
250,CARPMAEL THIRTY-EIGHT,"38 Carpmael Road,  Singapore"
251,CASA AERATA,"9 Lorong 26 Geylang,  Singapore"
252,CASA AL MARE,"75 Jalan Loyang Besar, Singapore"
253,CASA AROMA,"21 Chiku Road,  Singapore"
254,CASA CAIRNHILL,"1 Peck Hay Road,  Singapore"
255,CASA CAMBIO,"9 Lim Tua Tow Road,  Singapore"
256,CASA CONTENDERE,"39 Gilstead Road,  Singapore"
257,CASA EMERALD,"51 Lorong 32 Geylang,  Singapore"
258,CASA ESPANIA,"17 Gambir Walk,  Singapore"
259,CASA ESPERANZA,"995 Bukit Timah Road,  Singapore"
260,CASA FELIZ,"81 Koon Seng Road,  Singapore"
261,CASA FIDELIO,"114 Fidelio Street,  Singapore"
262,CASA FLORA,"21 Salam Walk,  Singapore"
263,CASA FORTUNA,"36 Ah Hood Road, Singapore"
264,CASA IRRAWADDY,"61 Irrawaddy Road,  Singapore"
265,CASA JERVOIS,"99 Jervois Road,  Singapore"
266,CASA MELWANI,"7 Surrey Road,  Singapore"
267,CASA MERAH,"50 Tanah Merah Kechil Avenue,  Singapore"
268,CASA MEYA,"25 Meyappa Chettiar Road,  Singapore"
269,CASA NOVACREST,"17 Peck Hay Road,  Singapore"
270,CASA PASIR RIS,"201 Jalan Loyang Besar,  Singapore"
271,CASA RIVIERA,"19 Lim Tua Tow Road,  Singapore"
272,CASA ROSA,"35 Lorong Ong Lye,  Singapore"
273,CASA SARINA,"101 Lorong Sarina,  Singapore"
274,CASA UNO,"1 Stevens Close,  Singapore"
275,CASABELLA,"192 Duchess Avenue,  Singapore"
276,CASABLANCA,"21 Rosewood Drive,  Singapore"
277,CASAFINA,"211 Bedok South Avenue 1,  Singapore"
278,CASCADALE,"730 Upper Changi Road East,  Singapore"
279,CASCATA,"7 Teo Kim Eng Road,  Singapore"
280,CASERO @ DUNMAN,"489 Dunman Road,  Singapore"
281,CASHEW PARK CONDOMINIUM,"50 Cashew Road,  Singapore"
282,CASPIAN,"50 Lakeside Drive,  Singapore"
283,CASSIA EDGE,"343 Guillemard Road,  Singapore"
284,CASSIA VIEW,"320 Guillemard Road,  Singapore"
285,CASTLE GREEN,"481 Yio Chu Kang Road,  Singapore"
286,CASTLE LOFT,"133 Lorong K Telok Kurau, Singapore"
287,CAVAN ROAD,"1 Cavan Road,  Singapore"
288,CAVENAGH COURT,"151 Cavenagh Road,  Singapore"
289,CAVENAGH GARDENS,"69 Cavenagh Road,  Singapore"
290,CAVENAGH HOUSE,"100 Clemenceau Avenue North,  Singapore"
291,CAVENAGH LODGE,"81 Cavenagh Road,  Singapore"
292,CAVENDISH PARK,"16 Pine Grove,  Singapore"
293,CELADON VIEW,"45 Jalan Loyang Besar,  Singapore"
294,CELESTIA,"160 Joo Chiat Terrace,  Singapore"
295,CENTRA HEIGHTS,"455 Sims Avenue,  Singapore"
296,CENTRA LOFT,"3 Lorong 35 Geylang,  Singapore"
297,CENTRA RESIDENCE,"8 Lorong 7 Geylang,  Singapore"
298,CENTRA STUDIOS,"25 Lorong 25 Geylang,  Singapore"
299,CENTRA SUITES,"38 Lorong 25a Geylang,  Singapore"
300,CENTRAL GREEN CONDOMINIUM,"1 Jalan Membina,  Singapore"
301,CENTRAL GROVE,"1 Geylang East Avenue 1,  Singapore"
302,CENTRAL IMPERIAL,"3 Lorong 14 Geylang,  Singapore"
303,CENTRAL MEADOWS,"51 Lorong 34 Geylang, Singapore"
304,CENTRAL VIEW,"50 Hougang Street 11,  Singapore"
305,CENTRINA,"11 Everitt Road North,  Singapore"
306,CENTRO MANSIONS,"20 Lorong 32 Geylang, Singapore"
307,CENTRO RESIDENCES,"59 Ang Mo Kio Avenue 8,  Singapore"
308,CEYLON CREST,"30 Ceylon Road,  Singapore"
309,CEYLON POINT,"94 Ceylon Road,  Singapore"
310,CEYLON RESIDENCE,"107 Ceylon Road, Singapore"
311,CHANCERY ESQUIRE,"8 Chancery Lane,  Singapore"
312,CHANCERY PARK,"9 Chancery Lane,  Singapore"
313,CHANGI COURT,"698 Upper Changi Road East,  Singapore"
314,CHANGI GARDEN,"961 Upper Changi Road North,  Singapore"
315,CHANGI GREEN,"712 Upper Changi Road East,  Singapore"
316,CHANTILLY RISE,"80 Hillview Avenue,  Singapore"
317,CHAPEL COURT,"27 Sea Avenue,  Singapore"
318,CHAPEL LODGE,"41 Lorong Stangee,  Singapore"
319,CHARISMA VIEW,"167 Jalan Jurong Kechil,  Singapore"
320,CHARLESTON,"10 Shanghai Road,  Singapore"
321,CHARLTON CORNER,"1 Charlton Lane,  Singapore"
322,CHARMING GARDEN,"138 King's Road,  Singapore"
323,CHATEAU LE FAME,"51 Ewe Boon Road,  Singapore"
324,CHELSEA GARDENS,"6 Walshe Road, Singapore"
325,CHELSEA LODGE,"300 Tanjong Katong Road,  Singapore"
326,CHEN FANG MANSIONS,"26 Lorong 33 Geylang,  Singapore"
327,CHERRY GARDENS,"61 Lorong Lew Lian,  Singapore"
328,CHERRYHILL,"21 Lorong Lew Lian,  Singapore"
329,CHESTERVALE,"31 Bangkit Road,  Singapore"
330,CHESTNUT-VILLE,"2 Jalan Pakis,  Singapore"
331,CHIKU MANSIONS,"5 Chiku Road,  Singapore"
332,CHIVERTON,"50 Ewe Boon Road,  Singapore"
333,CHNG MANSIONS,"120 Arthur Road,  Singapore"
334,CHOON KIM HOUSE,"780 Upper Serangoon Road,  Singapore"
335,CHOON MOEY MANSIONS,"36 Lorong 31 Geylang,  Singapore"
336,CHUAN GREEN,"76 Chuan Drive,  Singapore"
337,CHUAN LOFT,"60 Chuan Drive,  Singapore"
338,CHUAN PARK,"240 Lorong Chuan,  Singapore"
339,CHUAN SEVEN,"18 Chuan Drive,  Singapore"
340,CHUNG CHIN FLATS,"344 East Coast Road,  Singapore"
341,CITIGATE RESIDENCE,"168 Rangoon Road,  Singapore"
342,CITY EDGE,"14 Moulmein Rise,  Singapore"
343,CITY GATE,"371 Beach Road,  Singapore"
344,CITY LOFT,"363 Race Course Road,  Singapore"
345,CITY REGENCY,"18 Saint Michael's Road,  Singapore"
346,CITY SQUARE RESIDENCES,"14 Kitchener Link,  Singapore"
347,CITY SUITES,"235 Balestier Road,  Singapore"
348,CITYLIFE @ TAMPINES,"69 Tampines Central 7,  Singapore"
349,CITYLIFE@TAMPINES,"57 Tampines Central 7,  Singapore"
351,CITYSCAPE @ FARRER PARK,"101 Mergui Road,  Singapore"
352,CITYVISTA RESIDENCES,"21 Peck Hay Road,  Singapore"
353,CLAREMONT,"161 Killiney Road,  Singapore"
354,CLEMENTI PARK,"115 Sunset Way,  Singapore"
355,CLEMENTIWOODS CONDOMINIUM,"90 West Coast Road, Singapore"
356,CLIFTEN,"48 Ewe Boon Road,  Singapore"
357,CLIVEDEN AT GRANGE,"100 Grange Road,  Singapore"
358,CLOVER PARK,"12 Jalan Binchang,  Singapore"
359,CLUNY PARK RESIDENCE,"99 Cluny Park Road,  Singapore"
360,CLYDES RESIDENCE,"78 Mergui Road,  Singapore"
361,COASTAL BREEZE RESIDENCES,"8 Loyang Besar Close,  Singapore"
362,COASTAL VIEW RESIDENCES,"179 Jalan Loyang Besar,  Singapore"
363,COASTARINA,"510 East Coast Road,  Singapore"
364,COCO PALMS,"21 Pasir Ris Grove, Singapore"
365,COMMONWEALTH TOWERS,"230 Commonwealth Avenue,  Singapore"
366,COMPASS HEIGHTS,"9 Sengkang Square,  Singapore"
367,CORALIS,"530 Joo Chiat Road, Singapore"
368,CORALS AT KEPPEL BAY,"1 Keppel Bay Drive, Singapore"
369,CORONA VILLE,"35 Jalan Haji Alias,  Singapore"
370,CORONATION ARCADE,"5 Coronation Road,  Singapore"
371,CORONATION GROVE,"138 Coronation Road,  Singapore"
372,CORONATION SHOPPING PLAZA,"587 Bukit Timah Road,  Singapore"
373,COSMO,"18 Guillemard Crescent,  Singapore"
374,COSTA DEL SOL,"68 Bayshore Road,  Singapore"
375,COSTA ESTE,"42 Lorong K Telok Kurau,  Singapore"
376,COSY 23,"23 Lorong 30 Geylang,  Singapore"
377,COSY LODGE,"29 Lorong 31 Geylang,  Singapore"
378,COTE D'AZUR,"60 Marine Parade Road,  Singapore"
379,COUNTRY ESQUIRE,"20 Lorong Puntong,  Singapore"
380,COUNTRY GRANDEUR,"22 Lorong Puntong,  Singapore"
381,COUNTRY PARK CONDO,"37 Bedok Road,  Singapore"
382,COUNTRY PARK CONDOMINIUM,"37 Bedok Road, Singapore"
383,CRADELS,"10 Lorong Limau,  Singapore"
384,CRAIG PLACE,"20 Craig Road, Singapore"
385,CRANE COURT,"38 Crane Road,  Singapore"
386,CRESCENDO BUILDING,"17 Upper East Coast Road,  Singapore"
387,CRESCENDO PARK,"6 Jalan Tua Kong,  Singapore"
388,CROWN CENTRE,"557 Bukit Timah Road,  Singapore"
389,CRYSTAL COURT,"456 River Valley Road,  Singapore"
390,CRYSTAL DE AZURE,"18 How Sun Close,  Singapore"
391,CRYSTAL DEW,"10 Geylang East Avenue 1,  Singapore"
392,CRYSTAL HEIGHTS,"75 Pasir Panjang Hill,  Singapore"
393,CRYSTAL LODGE,"30 Lorong 16 Geylang, Singapore"
394,CRYSTAL MANSIONS,"3 Lorong 6 Geylang,  Singapore"
395,CUBE 8,"376 Thomson Road, Singapore"
396,CUBIK,"81 Lorong K Telok Kurau,  Singapore"
397,CYAN,"6 Keng Chin Road,  Singapore"
398,D - HERITAGE APARTMENTS,"43 Lengkong Empat,  Singapore"
399,D' PALMA,"18 Lorong Mydin,  Singapore"
400,D'CHATEAU @ SHELFORD,"25 Shelford Road,  Singapore"
401,D'ECOSIA,"27 Still Road South,  Singapore"
402,D'HIRO @ HILLSIDE,"61 Hillside Drive, Singapore"
403,D'LEEDON,"13 Leedon Heights,  Singapore"
404,D'LOTUS,"10 Lorong Ampas,  Singapore"
405,D'MIRA,"31 Boon Teck Road,  Singapore"
406,D'NEST,"131 Pasir Ris Grove, Singapore"
407,D'OASIA,"11 Lorong Melayu,  Singapore"
408,D'PAVILION,"803 Upper Serangoon Road,  Singapore"
409,D'SUNRISE,"8 Joo Chiat Lane,  Singapore"
410,D'WEAVE,"5 Lorong 39 Geylang,  Singapore"
411,D'ZIRE,"12 Robey Crescent, Singapore"
412,DAHLIA PARK CONDOMINIUM,"1 Flora Drive,  Singapore"
413,DAISY LODGE,"3 Daisy Road,  Singapore"
414,DAISY SUITES,"35 Daisy Road,  Singapore"
415,DAKOTA RESIDENCES,"34 Dakota Crescent,  Singapore"
416,DALVEY COURT,"28 Dalvey Estate,  Singapore"
417,DARBY PARK,"12 Orange Grove Road,  Singapore"
418,DAWN VILLE,"1 Butterworth Lane,  Singapore"
419,DE LENTE,"104 Holland Road,  Singapore"
420,DE PARADISO,"20 Martaban Road,  Singapore"
421,DE ROYALE,"31 Jalan Rama Rama,  Singapore"
422,DELIGHT COURT,"16 Lorong 33 Geylang,  Singapore"
423,DENG FU VILLE,"30 Kampong Eunos,  Singapore"
424,DERBYSHIRE HEIGHTS,"3 Derbyshire Road,  Singapore"
425,DEVONSHIRE APARTMENTS,"17 Devonshire Road,  Singapore"
426,DEVONSHIRE RESIDENCES,"55 Devonshire Road,  Singapore"
427,DLV,"70 Dalvey Road,  Singapore"
428,DOMAIN 21,"21 Delta Road,  Singapore"
429,DOMUS,"8 Irrawaddy Road,  Singapore"
430,DONG XING COURT,"3 Tay Lian Teck Road, Singapore"
431,DORMER PARK,"51 Jervois Road,  Singapore"
432,DORSET MANSIONS,"99 Dorset Road,  Singapore"
433,DORSETT RESIDENCES,"331 New Bridge Road, Singapore"
434,DOVER PARKVIEW,"34 Dover Rise,  Singapore"
435,DRAYCOTT DRIVE,"7 Draycott Drive,  Singapore"
436,DRAYCOTT PARK,"1 Draycott Park,  Singapore"
437,DUBLIN LODGE,"28 Dublin Road,  Singapore"
438,DUCHESS MANOR,"20 Duchess Road,  Singapore"
439,DUCHESS RESIDENCES,"102 Duchess Avenue, Singapore"
440,DUCHESS ROAD,"3 Duchess Road,  Singapore"
441,DUCHESS ROYALE,"32 Duchess Avenue,  Singapore"
442,DUCHESS WALK,"6 Duchess Walk,  Singapore"
443,DUET,"78 Holland Road,  Singapore"
