Condo Name,Address,Postal Code
CLUNY PARK RESIDENCE,99 Cluny Park Road,257496
CLYDES RESIDENCE,78 Mergui Road,219054
CLYDESVIEW,16a Jervois Lane,159192
COASTAL BREEZE RESIDENCES,8 Loyang Besar Close,509049
COASTAL VIEW RESIDENCES,179 Jalan Loyang Besar,506926
COASTARINA,510 East Coast Road,459135
COCO PALMS,21 Pasir Ris Grove,518070
COMFORT MANSION,25 Jalan Datoh,329418
COMMONWEALTH TOWERS,230 Commonwealth Avenue,149739
COMPASS HEIGHTS,9 Sengkang Square,545075
CONCOURSE SKYLINE,298 Beach Road,199554
CORALIS,530 Joo Chiat Road,427710
CORALS AT KEPPEL BAY,1 Keppel Bay Drive,098012
CORONA VILLE,35 Jalan Haji Alias,268535
CORONATION ARCADE,5 Coronation Road,269406
CORONATION GROVE,138 Coronation Road,269525
CORONATION SHOPPING PLAZA,587 Bukit Timah Road,269707
COSMO,18 Guillemard Crescent,399914
COSMO LOFT,235 Balestier Road,329699
COSTA DEL SOL,68 Bayshore Road,469986
COSTA ESTE,42 Lorong K Telok Kurau,425653
COSTA RHU,1 Rhu Cross,437431
COSY 23,23 Lorong 30 Geylang,398355
COSY LODGE,29 Lorong 31 Geylang,388029
COTE D'AZUR,60 Marine Parade Road,449297
COUNTRY ESQUIRE,20 Lorong Puntong,576438
COUNTRY GRANDEUR,22 Lorong Puntong,576439
COUNTRY PARK,Bedok Road,469362
COUNTRY PARK CONDO,37 Bedok Road,469362
COUNTRY PARK CONDOMINIUM,37 Bedok Road,469360
CRADELS,10 Lorong Limau,328754
CRAIG PLACE,20 Craig Road,089692
CRANE COURT,38 Crane Road,429381
CREE COURT,Dalvey Road,
CRESCENDO BUILDING,17 Upper East Coast Road,455208
CRESCENDO PARK,6 Jalan Tua Kong,457269
CROWN CENTRE,557 Bukit Timah Road,269694
CRYSTAL COURT,456 River Valley Road,248342
CRYSTAL DE AZURE,18 How Sun Close,538645
CRYSTAL DEW,10 Geylang East Avenue 1,389781
CRYSTAL HEIGHTS,75 Pasir Panjang Hill,118885
CRYSTAL LODGE,30 Lorong 16 Geylang,398870
CRYSTAL MANSIONS,3 Lorong 6 Geylang,399165
CRYSTAL RHU,8a Tanjong Rhu Road,436889
CRYSTAL TOWER,41 Ewe Boon Road,259335
CUBE 8,376 Thomson Road,298130
CUBIK,81 Lorong K Telok Kurau,425711
CULFORD GARDEN,175 Upper East Coast Road,455277
CUSCADEN MANSIONS,3 Cuscaden Walk,249690
CUSCADEN RESIDENCES,26 Cuscaden Road,249722
CUSCADEN ROYALE,5 Cuscaden Walk,249696
CUSCADEN TOWER,Cuscaden Walk,
CYAN,6 Keng Chin Road,258709
D - HERITAGE APARTMENTS,43 Lengkong Empat,417659
D' PALMA,18 Lorong Mydin,416817
D'ALMIRA,Sommerville Road,
D'BANYAN,83 Jalan Sendudok,769468
D'CAMBRIDGE,60 Cambridge Road,219758
D'CASITA,38 Lorong Marzuki,417104
D'CASTILIA,45 Joo Chiat Lane,428104
D'CHATEAU @ SHELFORD,25 Shelford Road,288415
D'DALVEY,23 Dalvey Estate,259555
D'ECOSIA,27 Still Road South,423936
D'EVELYN,18 Evelyn Road,309307
D'FOCUS APARTMENTS,135 Haig Road,438789
D'FRESCO,58 Joo Chiat Lane,428109
D'GALLERY,15 Jalan Masjid,418936
D'GROVE VILLAS,8a Orange Grove Road,258343
D'HERITAGE CASTLE,42 Lengkong Empat,
D'HILLSIDE LOFT,31 Pasir Panjang Hill,118853
D'HIRO @ HILLSIDE,61 Hillside Drive,549010
D'IXORAS,23 Minbu Road,308172
D'LEEDON,13 Leedon Heights,266224
D'LOTUS,10 Lorong Ampas,328784
D'MARINE,521 Joo Chiat Road,427701
D'MIRA,31 Boon Teck Road,329602
D'NEST,131 Pasir Ris Grove,518130
D'OASIA,11 Lorong Melayu,416905
D'PALMA,16 Lorong Mydin,416817
D'PAVILION,803 Upper Serangoon Road,534163
D'SAVILLE,22 Jalan Tenggiri,428268
D'SUNRISE,8 Joo Chiat Lane,428094
D'WEAVE,5 Lorong 39 Geylang,387866
D'ZIRE,12 Robey Crescent,546290
DAHLIA PARK CONDOMINIUM,1 Flora Drive,507009
DAINTREE RESIDENCE,11d Toh Tuck Road,596126
DAIRY FARM ESTATE,23 Dairy Farm Road,679046
DAISY APARTMENTS,35a Daisy Road,359450
DAISY LODGE,3 Daisy Road,359426
DAISY SUITES,35 Daisy Road,359455
DAKOTA RESIDENCES,34 Dakota Crescent,399936
DALVEY COURT,28 Dalvey Estate,259548
DARBY PARK,12 Orange Grove Road,258353
DATOH COURT,32 Jalan Datoh,329420
DAWN VILLE,1 Butterworth Lane,439444
DE ANGELO,22 Jalan Dusun,329369
DE CASALLE,86a Lorong N Telok Kurau,425236
DE CENTURION,6a Tanjong Rhu Road,436884
DE LENTE,104 Holland Road,278547
DE PARADISO,20 Martaban Road,328644
DE ROYALE,31 Jalan Rama Rama,329111
DELFI ORCHARD,402 Orchard Road,238876
DELIGHT COURT,16 Lorong 33 Geylang,387982
DENG FU COURT,28 Sims Avenue East,416541
DENG FU VILLE,30 Kampong Eunos,417777
DERBY COURT,5 Derbyshire Road,309461
DERBYSHIRE HEIGHTS,3 Derbyshire Road,309459
DEVONSHIRE 12,12 Devonshire Road,239847
DEVONSHIRE 8,8 Devonshire Road,239845
DEVONSHIRE APARTMENTS,17 Devonshire Road,239849
DEVONSHIRE LODGE,59 Devonshire Road,239856
DEVONSHIRE RESIDENCES,55 Devonshire Road,239855
DLV,70 Dalvey Road,259469
DOMAIN 21,21 Delta Road,169813
DOMUS,8 Irrawaddy Road,329564
DONG LONG MANSION,East Coast Road,
DONG XING COURT,3 Tay Lian Teck Road,455620
DORMER PARK,51 Jervois Road,249045
DORSET COURT,107 Dorset Road,219497
DORSET MANSIONS,99 Dorset Road,219493
DORSETT RESIDENCES,331 New Bridge Road,088764
DOUBLE BAY RESIDENCES,19b Simei Street 4,528714
DOVER PARKVIEW,34 Dover Rise,138681
DRAGON MANSION,14 Spottiswoode Park Road,088641
DRAGON PEARL APARTMENT,315 River Valley Road,238354
DRAYCOTT 8,Draycott Park,259405
DRAYCOTT DRIVE,7 Draycott Drive,259421
DRAYCOTT EIGHT,4 Draycott Park,259387
DRAYCOTT PARK,1 Draycott Park,259385
DUBLIN LODGE,28 Dublin Road,239813
DUCHESS COURT,2 Duchess Walk,268931
DUCHESS MANOR,20 Duchess Road,268988
DUCHESS RESIDENCES,102 Duchess Avenue,266310
DUCHESS ROAD,3 Duchess Road,268978
DUCHESS ROYALE,32 Duchess Avenue,269105
DUCHESS WALK,6 Duchess Walk,268933
DUET,78 Holland Road,258873
DUKES RESIDENCE,25 Duke's Road,268906
DUKU APARTMENTS,75 Duku Road,429237
DUKU COURT,71 Duku Road,429233
DUNEARN COURT,386 Dunearn Road,289599
DUNEARN GARDENS,16 Dunearn Road,309420
DUNEARN LODGE,408 Dunearn Road,289674
DUNEARN REGENCY,402a Dunearn Road,289608
DUNEARN SUITES,404 Dunearn Road,289609
DUNMAN COURT,Dunman Road,
DUNMAN PLACE,515 Dunman Road,439204
DUNMAN REGENCY,485 Dunman Road,439190
DUNMAN VIEW,100 Haig Road,438797
DUO RESIDENCES,1 Fraser Street,189350
DUSUN GROVE,33 Jalan Dusun,329371
DYNASTY LODGE,265 Sixth Avenue,276559
E MAISON,30 Braddell Road,359946
E-SPACE,135 Lorong K Telok Kurau,425774
E7 LODGE,66 Lorong Melayu,416953
EAST 25 APARTMENTS,10 Lorong 25a Geylang,388224
EAST BAY GARDENS,87 Lorong G Telok Kurau,426277
EAST COAST MANSIONS,615 East Coast Road,429085
EAST COAST RESIDENCES,412 Upper East Coast Road,466488
EAST COAST VILLE,324 Upper East Coast Road,466455
EAST COURT,87 Koon Seng Road,427028
EAST ELEGANCE,190 Joo Chiat Terrace,427336
EAST GALLERIA,19 Sea Avenue,424239
EAST MEADOWS,30 Tanah Merah Kechil Road,465558
EAST MEWS,853 Mountbatten Road,437838
EAST PALM,1 Palm Road,456448
EAST SHINE,57 Lorong Melayu,417026
EAST SHORE COURT,25 Lorong M Telok Kurau,425310
EAST SIGNATURE,1a Elliot Walk,458656
EAST TREASURE,36 Lorong N Telok Kurau,425160
EAST VIEW,10 Brooke Road,429986
EAST VIEW 18,18 Rambutan Road,424302
EAST VILLAGE,430 Upper Changi Road,487048
EASTBAY,1 Tay Lian Teck Road,455615
EASTCOVE RESIDENCES,302 Joo Chiat Place,427982
EASTERN LAGOON,200 Upper East Coast Road,455283
EASTERN MANSION,1 Jalan Kechil,438468
EASTERN RESIDENCE,285 Joo Chiat Place,427966
EASTERN WAY MANSIONS,23 Paya Lebar Crescent,536048
EASTPAC BUILDING,586 Balestier Road,329898
EASTPOINT GREEN,1 Simei Street 3,529890
EASTSIDE LOFT,150 Tanjong Katong Road,437154
EASTVALE CONDOMINIUM,31 Pasir Ris Drive 3,519491
EASTVILLE APARTMENTS,43 Joo Chiat Lane,428103
EASTWIND MANSIONS,102 Joo Chiat Terrace,427256
EASTWOOD CENTRE,20 Eastwood Road,486442
EASTWOOD GREEN,10 Eastwood Road,486364
EASTWOOD LODGE,36 Eastwood Road,486137
EASTWOOD REGENCY,40 Eastwood Road,486397
EBER GARDENS,1 Eber Road,239756
EBONY MANSIONS,30 Lorong M Telok Kurau,425312
ECHELON,7 Alexandra View,158741
ECO,277 Bedok South Avenue 3,465457
ECO SANCTUARY,61 Chestnut Avenue,679522
ECOPOLITAN,136 Punggol Walk,828699
ECOVILLE,10 Martaban Road,328668
EDELWEISS PARK CONDOMINIUM,80 Flora Road,506999
EDEN CREST,14 Eden Grove,539068
EDEN RESIDENCES CAPITOL,11 Stamford Road,178884
EDEN SPRING,Balmoral Road,
EDEN SPRINGS,11c Balmoral Road,259798
EDEN VIEW,6 Eden Grove,539102
EDENVALE,372 Pasir Panjang Road,118709
EDENZ LOFT,11 Lorong 24 Geylang,398623
EDENZ SUITES,21 Lorong 28 Geylang,398425
EIGHT COURTYARDS,12 Canberra Drive,768094
EIGHT RIVERSUITES,2 Whampoa East,338517
EIS RESIDENCES,4 Haig Avenue,438859
EL CENTRO,11 Kee Seng Street,089218
ELEGANCE VIEW,20 Irrawaddy Road,329550
ELIAS GREEN,1 Elias Green,519959
ELIZABETH HEIGHTS,57 Cairnhill Road,229668
ELIZABETH TOWER,12 Mount Elizabeth,228511
ELLING COURT,Upper Paya Lebar Road,
ELLIOT AT EAST COAST,Elliot Road,458711
ELLIOT AT THE EAST COAST,21 Elliot Road,458703
ELMIRA HEIGHTS,5 Newton Road,307944
EMERALD APARTMENTS,140 Emerald Hill Road,229417
EMERALD EAST,8d Tanjong Rhu Road,436892
EMERALD GARDEN,33 Club Street,069415
EMERALD LODGE,156 Emerald Hill Road,229423
EMERALD MANSIONS,109 Emerald Hill Road,229387
EMERALD PARK,4 Indus Road,169587
EMERY POINT,18 Ipoh Lane,438622
EMILY RESIDENCE,3 Mount Emily Road,228485
EMPRADO SUITES,93 Lorong N Telok Kurau,425244
EN FU MANSIONS,25 Lorong 33 Geylang,387988
ENG APARTMENTS,25 Lorong 25a Geylang,388230
ENG AUN MANSION,304 Thomson Road,307654
ENG HOON MANSIONS,17 Eng Hoon Street,169767
ENG KONG GREEN,33 Eng Kong Crescent,599426
ENG LOK MANSION,7 Napier Road,258501
ENG TAI MANSION,42 St. Thomas Walk,238122
ENVIO,281 Joo Chiat Place,427962
EON SHENTON,70 Shenton Way,079118
EQUATORIAL APARTMENTS,48 Meyer Road,437872
ESCADA VIEW,53 Lengkong Empat,417657
ESPA,10 Cashew Road,679692
ESPADA,48 Saint Thomas Walk,238126
ESPANA,12 Dyson Road,309371
ESPARINA RESIDENCES,113 Compassvale Bow,544814
ESPIRA RESIDENCE,80 Lorong K Telok Kurau,425710
ESPIRA SPRING,59 Lorong G Telok Kurau,426244
ESPIRA SUITES,99a Lorong H Telok Kurau,426121
ESSEN APARTMENTS,Moulmein Road,
ESTA RUBY,500 Guillemard Road,399839
ESTELLA GARDENS,21 Flora Road,509738
ESTERINA,12 Haig Avenue,438867
ESTILO,71 Wilkie Road,228071
ESTIQUE,3 Rose Lane,437361
ETON COURT,47 Lorong N Telok Kurau,425171
EU HOCK APARTMENTS,41 Minbu Road,308179
EUHABITAT,332 Jalan Eunos,415816
EUNOS ESTATE HUDC,Sims Avenue,
EUNOS GARDENS,20 Sims Avenue East,416537
EUNOS GREEN,10 Sims Avenue East,416558
EUNOS MANSION,205 Jalan Eunos,419535
EUNOS PARK,5 Kampong Eunos,417771
EUNOSVILLE,822 Sims Avenue,400822
EUPHONY GARDENS,1 Jalan Mata Ayer,759075
EURO-ASIA APARTMENTS,1037 Serangoon Road,328170
EURO-ASIA COURT,3 River Valley Close,238429
EURO-ASIA LODGE,96 Joo Chiat Terrace,427253
EURO-ASIA PARK,25 Woodleigh Close,357920
EVANIA,389 Upper Paya Lebar Road,534979
EVELYN MANSIONS,20 Evelyn Road,309309
EVER LODGE,685 Geylang Road,389686
EVERGREEN PARK,31 Hougang Avenue 7,538800
EVERGREEN RESIDENCES,43 Lorong 22 Geylang,398698
EVERGREEN VIEW,15 Lorong 36 Geylang,398150
EVERITT EDGE,83 Joo Chiat Place,427800
EVERITT GREEN,9 Everitt Road North,428522
EVIAN,359 Holland Road,278636
EVIAN CONDOMINIUM,Holland Road,
EWE BOON REGENT,31 Ewe Boon Road,259332
EXCELLENCE MANSIONS,7 Lorong 27 Geylang,388159
FABER GARDEN CONDOMINIUM,2 Angklong Lane,579978
FAIRLODGE,108 Holland Road,278551
FAIRMOUNT CONDOMINIUM,30 Eastwood Road,486365
FALCON CREST,5 Draycott Drive,259420
FAMILIE MANSIONS,65 Lorong 8 Geylang,399125
FAR EAST MANSION,10 Kim Yam Road,239325
FAR HORIZON GARDENS,1 Ang Mo Kio Avenue 9,569758
FARRER COURT,151a Kings Road,268158
FARRER GROVE,Farrer Road,
FARRER PARK SUITES,80 Owen Road,218896
FENARA COURT,3 Jalan Wakaff,428233
FERN LODGE,7 Lorong 4 Geylang,399266
FERNHILL APARTMENT,Fernhill Road,
FERNHILL COTTAGE,70 Fernhill Road,259121
FERNHILL COURT,60 Fernhill Road,259117
FERNHILL PLACE,8a Fernhill Road,259056
FERNHILL RESIDENCES,39 Fernhill Road,259099
FERNWOOD TOWERS,22 Fernwood Terrace,458553
FERRA,1 Leonie Hill,239219
FERRARIA PARK CONDOMINIUM,8 Flora Drive,506941
FERRELL RESIDENCES,327 Bukit Timah Road,259715
FIDVI COURT,142 Joo Chiat Terrace,427286
FIFTEEN ROBIN,15 Robin Road,258196
FIFTH AVENUE CONDOMINIUM,2 Fifth Avenue,268800
FIFTY-TWO STEVENS,52 Stevens Road,257848
FINLAND GARDENS,54 East Coast Terrace,458949
FIORENZA,42 Florence Road,549576
FIRST MANSION,2 Jalan Daliah,438516
FIRST POINT SUITES,59 Lorong H Telok Kurau,426068
FIVE ON SHENTON,5 Shenton Way,
FIVENINE,59a Lorong K Telok Kurau,423369
FLAME TREE PARK,1 Sin Ming Avenue,575728
FLAMINGO VALLEY,478 Siglap Road,454852
FLO RESIDENCE,1 Punggol Field Walk,828739
FLORA EAST,231 Joo Chiat Place,427927
FLORAVIEW,1 Ang Mo Kio Street 66,567705
FLORAVILLE,2 Cactus Road,809578
FLORENCE REGENCY,713 Hougang Avenue 2,530713
FLORIDIAN,977 Bukit Timah Road,589626
FLYNN PARK,18 Yew Siang Road,117755
FOH PIN MANSION,15 Charlton Road,539579
FONTAINE PARRY,67 Poh Huat Road,546776
FONTANA HEIGHTS,39 Mount Sinai Rise,276957
FORD MANSION,1 Ford Avenue,268685
FORESQUE RESIDENCES,101 Petir Road,678272
FOREST HILLS,Transit Road,778905
FOREST HILLS CONDOMINIUM,31 Transit Road,778893
FOREST WOODS,19 Lorong Lew Lian,533851
FORESTVILLE,48 Woodlands Drive 16,737763
FORT GARDENS,21 Fort Road,439089
FORTE SUITES,88 Mergui Road,219062
FORTREDALE,2 Tanjong Rhu Road,436880
FORTUNA COURT,39 Jalan Rajah,329147
FORTUNE JADE,501 Dunman Road,439193
FORTUNE PARK,109 Tampines Road,535131
FORTUNE SPRING,7 Palm Road,456442
FORTVILLE,19 Fort Road,439088
FOUR SEASONS PARK,8 Cuscaden Walk,249692
FRAGRANCE COURT,12 Yew Siang Road,117752
FRAGRANT GARDENS,357 Upper Paya Lebar Road,534959
FRASER SUITES,491 River Valley Road,248371
FREESIA WOODS,61 Sunset Way,597086
FRUITION,3 Mangis Road,424981
FULCRUM,33 Fort Road,439092
FURAMA TOWER,22 Leonie Hill Road,239195
FUYUEN COURT,520 Sims Avenue,387580
G RESIDENCES,50 Lorong G Telok Kurau,426233
GAIA,33 Jalan Dusun,329371
GALAXY TOWERS,30 Onan Road,424482
GALLERY 8,8 Pulasan Road,424376
GALLERY FIFTEEN,31 Jalan Dusun,329370
GALLOP COURT,6 Gallop Road,258961
GALLOP GABLES,70 Farrer Road,268850
GALLOP GREEN,13 Woollerton Park,257534
GAMBIER COURT,60 Kim Yam Road,239361
GAMBIR RIDGE,16 Gambir Walk,538976
GARDEN APARTMENT,25 Orange Grove Road,258351
GARDEN APARTMENTS,Orange Grove Road,
GARDEN PARK RESIDENCES,25 Lorong M Telok Kurau,425310
GARDENIA COURT,38 Jalan Mata Ayer,759121
GARDENVILLE,10 Walshe Road,257654
GARDENVISTA,950 Dunearn Road,589474
GEK LIM MANSIONS,35 Lorong 33 Geylang,387990
GEM RESIDENCES,1 Lorong 5 Toa Payoh,319458
GEMINI APARTMENTS,67 Jalan Tua Kong,457263
GEYLANG HERITAGE,26 Lorong 34 Geylang,398223
GEYLANG MANSIONS,2 Lorong 26 Geylang,398478
GEYLANG ROAD,20 Geylang Road,389192
GIDEON'S LODGE,47 Joo Chiat Lane,428105
GIFFARD MANSIONS,424 Balestier Road,329810
GILLENIA,35 Rosyth Road,546195
GILSTEAD 38,38 Gilstead Road,309082
GILSTEAD BROOKS,39 Gilstead Road,309083
GILSTEAD COURT,50 Gilstead Road,309094
GILSTEAD MANSION,57 Gilstead Road,309101
GILSTEAD TWO,2 Gilstead Road,309061
GILSTEAD VIEW,2 Gilstead Road,309061
GISBORNE LIGHT,27 Ewe Boon Road,259330
GLAMOUR VILLE,1 Lorong N Telok Kurau,425120
GLASGOW RESIDENCE,23 Glasgow Road,549338
GLENDALE PARK,21 Hillview Avenue,669556
GLENFIELD APARTMENTS,291 Joo Chiat Place,427972
GLENTREES,11a Mount Sinai Lane,277050
GLENVILLE,11a Lim Tua Tow Road,547734
GLOBAL VILLE,20 Jalan Raja Udang,329192
GLORIA MANSION,292 Pasir Panjang Road,118633
GLOUCESTER MANSIONS,10 Newton Road,307947
GOLD COAST CONDOMINIUM,366 Pasir Panjang Road,118702
GOLD LEAF MANSIONS,100 Lorong M Telok Kurau,425403
GOLD PALM MANSIONS,139 Lorong K Telok Kurau,425777
GOLDEARTH LODGE,Joo Chiat Place,427982
GOLDEARTH VIEW,Joo Chiat Place,427966
GOLDEN HEIGHTS,126 Serangoon Avenue 3,556126
GOLDEN HILL CONDOMINIUM,Mei Hwan View,
GOLDEN MILE COMPLEX,5001 Beach Road,199588
GOLDEN TOWERS,29 Minbu Road,308176
GOLDENHILL PARK,Mei Hwan Drive,568290
GOLDENHILL PARK CONDOMINIUM,60 Mei Hwan Drive,568426
GOLDHILL MANSION,5 Jervois Road,248995
GOLDHILL TOWERS,38 Goldhill Avenue,309021
GOODLUCK GARDEN,28 Toh Tuck Road,596703
GOODLUCK VIEW,45 Toh Tuck Road,596720
GOODRICH PARK,2c Simon Lane,546020
GOODVIEW APARTMENTS,6 Lorong 8 Geylang,399077
GOODWILL COURT,79 Upper East Coast Road,455219
GOODWILL MANSION,355 Balestier Road,329782
GOODWOOD GARDENS,4 Balmoral Crescent,259889
GOODWOOD GRAND,30 Balmoral Road,257489
GOODWOOD RESIDENCE,261 Bukit Timah Road,259703
GRACE APARTMENTS,13 Mattar Road,387721
GRACIOUS MANSIONS,21 Jalan Rendang,428352
GRAMERCY PARK,57 Grange Road,249569
GRAND CHATEAU,2 Jalan Rajawali,598435
GRAND DUCHESS AT ST PATRICK'S,St. Patrick's Road,424214
GRAND DUCHESS AT ST PATRICKS,126 St. Patricks Road,424203
GRAND DUCHESS AT ST. PATRICK'S,St. Patrick's Road,424214
GRAND REGALIA,815 Upper Serangoon Road,534676
GRAND REGENCY,9 Jalan Rajawali,598431
GRAND RESIDENCE,54 Lorong G Telok Kurau,426237
GRAND TOWER,27 Moulmein Rise,308140
GRANDE VISTA,2 Cactus Drive,809683
GRANDEUR 8,2 Ang Mo Kio Central 3,567741
GRANDEUR PARK RESIDENCES,1 Bedok South Avenue 3,465461
GRANDLINK SQUARE,511 Guillemard Road,399849
GRANDVIEW SUITES,1 Lorong 22 Geylang,398664
GRANGE 1866,74 Grange Road,249578
GRANGE 70,70 Grange Road,249574
GRANGE 80,80 Grange Road,249585
GRANGE COURT,Grange Road,
GRANGE HEIGHTS,15 Saint Thomas Walk,238143
GRANGE INFINITE,27 Grange Road,239700
GRANGE MANSION,Grange Road,
GRANGE RESIDENCES,91 Grange Road,249613
GRANGE ROAD,23-1 Grange Road,249563
GRANGE TOWER,29 Grange Road,239701
GRANGEFORD APARTMENT,25 Leonie Hill Road,239196
GRAY LANE,2 Gray Lane,438934
GRAY MANSIONS,10 Gray Lane,438943
GREEN COURT,496 Geylang Road,389454
GREEN MEADOWS,101 Tagore Avenue,787691
GREEN PARK,23 Jalan Limau Kasturi,545045
GREENACRES,14a West Coast Road,127299
GREENLANE APARTMENT,3 Green Lane,438898
GRENVILLE,Mount Sinai Lane,
GROSVENOR VIEW,1 Lengkong Empat,417609
GUILIN COURT,10 Lorong 26 Geylang,398485
GUILIN MANSIONS,8 Lorong 37 Geylang,387906
GUILIN VIEW,20 Bukit Batok Street 52,659244
GUILLEMARD APARTMENTS,30 Lorong 26 Geylang,398497
GUILLEMARD COURT,33 Lorong 28 Geylang,398437
GUILLEMARD EDGE,38 Lorong 30 Geylang,398371
GUILLEMARD SUITES,213 Guillemard Road,399733
GUILLEMARD VIEW,329a Guillemard Road,399850
GURKHA CANTONMENT,50 Vernon Park,367819
H RESIDENCES,50a Lorong H Telok Kurau,426049
H2O RESIDENCES,30 Fernvale Link,797530
HABITAT ONE,3 Ardmore Park,259950
HAIG 162,162 Haig Road,438773
HAIG APARTMENTS,185 Haig Road,438782
HAIG COURT,152 Haig Road,438791
HAIG ELEVEN,11 Haig Avenue,438866
HAIG GARDENS,29a Ipoh Lane,438637
HAIG LODGE,139 Haig Road,438768
HAIG MANSIONS,105 Haig Road,438751
HAIG RESIDENCES,163 Haig Road,438774
HAIG TEN,1 Haigsville Drive,438719
HALLMARK RESIDENCES,17 Ewe Boon Road,259325
HAMPTON COURT,2 Draycott Park,259386
HANA,8 Tomlinson Road,247857
HANG TAT GARDEN,348 Balestier Road,329778
HANSVILLE,84 Jalan Haji Alias,268562
HAPPY MANSION,1 Happy Avenue North,369736
HARBOUR SUITES,522 Kampong Bahru Road,099454
HARBOUR VIEW GARDENS,211 Pasir Panjang Road,118574
HARBOUR VIEW TOWERS,21 Telok Blangah Drive,109258
HARBOURLIGHTS,66 Telok Blangah Road,098830
HARMONY @ 1A,1a Lim Ah Pin Road,547810
HARMONY MANSION,32 Duku Road,429190
HARVEST MANSIONS,550 Havelock Road,169638
HAWAII TOWER,73 Meyer Road,437898
HAZEL PARK CONDOMINIUM,15 Hazel Park Terrace,678943
HEDGES PARK CONDOMINIUM,71 Flora Drive,506881
HEIWA COURT,621 East Coast Road,429088
HEJI GARDENS,73 Lorong K Telok Kurau,425692
HELIOS RESIDENCES,15 Cairnhill Circle,229815
HEMOGLOBIN HEIGHTS,Geylang East Avenue 2,
HERITAGE APARTMENTS,4 Ardmore Park,259960
HERITAGE EAST,451 East Coast Road,429024
HERITAGE PLACE,21 Tan Quee Lan Street,188108
HERITAGE RESIDENCES,101 Lorong L Telok Kurau,425537
HERITAGE VIEW,6 Dover Rise,138678
HERON BAY,63 Upper Serangoon View,534014
HERTFORD APARTMENTS,40a Hertford Road,219392
HERTFORD COLLECTION,40 Hertford Road,219408
HERTFORD MANSION,18 Hertford Road,219380
HIGH OAK CONDOMINIUM,11 Toh Tuck Road,596290
HIGH PARK RESIDENCES,27 Fernvale Road,797415
HIGH POINT,30 Mount Elizabeth,228519
HIGHGATE,60 Toh Tuck Road,596723
HIGHLAND CENTRE,22 Yio Chu Kang Road,545535
HIGHLAND CONDOMINIUM,91 Highland Road,549170
HIGHLINE RESIDENCES,5 Kim Tian Road,168591
HIJAUAN,63 Cavenagh Road,229618
HILBRE28,68 Hillside Drive,549018
HILL PARK,30 Jalan Bahasa,299274
HILLBROOKS,88 Hillview Avenue,669590
HILLCOURT,39 Cairnhill Road,229659
HILLCREST ARCADIA,251 Arcadia Road,289847
HILLINGTON GREEN,51 Hillview Avenue,669565
HILLION RESIDENCES,8 Jelebu Road,677671
HILLS APARTMENT,46 Goldhill Avenue,309029
HILLS TWOONE,21 Hillview Terrace,669232
HILLSIDE MANSIONS,24 Hillside Drive,548943
HILLSTA,70 Phoenix Road,667973
HILLTOP APARTMENTS,105 Cairnhill Circle,229810
HILLTOP GROVE,134 Hillview Avenue,669619
HILLTOPS,99 Cairnhill Circle,229808
HILLVIEW 128,128 Hillview Avenue,669595
HILLVIEW APARTMENTS,71 Hillview Avenue,669570
HILLVIEW AVENUE,9 Hillview Avenue,669551
HILLVIEW GREEN,61 Hume Avenue,598741
HILLVIEW HEIGHTS,27 Hillview Avenue,669559
HILLVIEW PARK,19a Hillview Avenue,669554
HILLVIEW REGENCY,26 Bukit Batok East Avenue 2,659920
HILLVIEW RESIDENCE,138 Hillview Avenue,669599
HILLVISTA,1 Elizabeth Drive,669743
HILTON TOWERS,Leonie Hill,
HIMIKO COURT,4 Ridgewood Close,276695
HIN SENG GARDEN,37 West Coast Way,127008
HJ HEIGHTS,1 Merbok Crescent,597664
HOCK MANSION,1 Wilkie Terrace,228022
HOCK MANSIONS,Wilkie Terrace,228022
HOLLAND 100,100 Holland Road,278543
HOLLAND APARTMENT,104 Holland Road,278547
HOLLAND COURT,144 Holland Road,278576
HOLLAND CREST,19 Holland Hill,278736
HOLLAND GEMS,1 Taman Nakhoda,257742
HOLLAND HILL LODGE,5 Holland Hill,278742
HOLLAND HILL MANSION,10 Holland Hill,278733
HOLLAND HILL PARK,7 Holland Hill,278731
HOLLAND MANSION,112 Holland Road,278555
HOLLAND MEWS,67 Holland Road,258867
HOLLAND PEAK,23 Holland Hill,278739
HOLLAND RESIDENCES,1 Taman Warna,276337
HOLLAND SUITES,129 Holland Road,278568
HOLLAND TOWER,10 Holland Heights,249510
HOLLAND VIEW,621 Queensway,276747
HOLLANDIA,91 Holland Road,278536
HOLLANDSWOOD COURT,3 Holland Park,249473
HOLLYWOOD APARTMENTS,100 Oxley Rise,238701
HOLT RESIDENCES,5 Holt Road,249444
HOMEY GARDENS,4 Lorong M Telok Kurau,425283
HONG BUILDING,204 Rangoon Road,218451
HONG HENG GARDEN,33 Sembawang Road,779084
HONG HENG MANSIONS,54 Sembawang Road,779085
HONG YUN COURT,Lorong M Telok Kurau,
HONOLULU TOWER,341 Bukit Timah Road,259719
HOOT KIAM MANSION,23 Hoot Kiam Road,249405
HOOVER FLATS,Etc Jalan Rama Rama,
HORIZON GARDENS,341 Ang Mo Kio Avenue 2,567826
HORIZON RESIDENCES,41 Pasir Panjang Hill,118862
HORIZON TOWERS,15 Leonie Hill Road,239194
HORIZON VIEW,61 Cairnhill Road,229670
HORNE ROAD,2 Horne Road,209057
HOUGANG AVENUE 2,120 Hougang Avenue 2,538858
